timestamp,machine_id,session_label,operating_state,label,eff_fs_win,acc_x_mean,acc_x_rms,acc_x_variance,acc_x_std,acc_x_min,acc_x_max,acc_x_peak,acc_x_peak_to_peak,acc_x_median,acc_x_iqr,acc_x_skewness,acc_x_kurtosis,acc_x_crest_factor,acc_x_shape_factor,acc_x_impulse_factor,acc_x_clearance_factor,acc_x_sma,acc_y_mean,acc_y_rms,acc_y_variance,acc_y_std,acc_y_min,acc_y_max,acc_y_peak,acc_y_peak_to_peak,acc_y_median,acc_y_iqr,acc_y_skewness,acc_y_kurtosis,acc_y_crest_factor,acc_y_shape_factor,acc_y_impulse_factor,acc_y_clearance_factor,acc_y_sma,acc_z_mean,acc_z_rms,acc_z_variance,acc_z_std,acc_z_min,acc_z_max,acc_z_peak,acc_z_peak_to_peak,acc_z_median,acc_z_iqr,acc_z_skewness,acc_z_kurtosis,acc_z_crest_factor,acc_z_shape_factor,acc_z_impulse_factor,acc_z_clearance_factor,acc_z_sma,acc_mag_mean,acc_mag_rms,acc_mag_variance,acc_mag_std,acc_mag_min,acc_mag_max,acc_mag_peak,acc_mag_peak_to_peak,acc_mag_median,acc_mag_iqr,acc_mag_skewness,acc_mag_kurtosis,acc_mag_crest_factor,acc_mag_shape_factor,acc_mag_impulse_factor,acc_mag_clearance_factor,acc_mag_sma,acc_mag_dominant_freq,acc_mag_spectral_energy,acc_mag_spectral_centroid,acc_mag_spectral_bandwidth,acc_mag_spectral_rolloff,acc_mag_spectral_entropy,acc_mag_spectral_flatness,acc_mag_harmonic_ratio,acc_mag_band_energy_1_0_50hz,acc_mag_band_energy_2_50_100hz,acc_mag_band_energy_3_100_200hz,acc_mag_band_energy_4_200_400hz,acc_mag_zcr,acc_mag_autocorr_lag1,acc_mag_jerk_rms,acc_mag_jerk_std,acc_mag_temporal_variance,acc_mag_temporal_stability,gyro_mag_mean,gyro_mag_rms,gyro_mag_variance,gyro_mag_std,gyro_mag_min,gyro_mag_max,gyro_mag_peak,gyro_mag_peak_to_peak,gyro_mag_median,gyro_mag_iqr,gyro_mag_skewness,gyro_mag_kurtosis,gyro_mag_crest_factor,gyro_mag_shape_factor,gyro_mag_impulse_factor,gyro_mag_clearance_factor,gyro_mag_sma,gyro_mag_dominant_freq,gyro_mag_spectral_energy,gyro_mag_spectral_centroid,gyro_mag_spectral_bandwidth,gyro_mag_spectral_rolloff,gyro_mag_spectral_entropy,gyro_mag_spectral_flatness,gyro_mag_harmonic_ratio,gyro_mag_band_energy_1_0_50hz,gyro_mag_band_energy_2_50_200hz,audio_mean,audio_rms,audio_variance,audio_std,audio_min,audio_max,audio_peak,audio_peak_to_peak,audio_median,audio_iqr,audio_skewness,audio_kurtosis,audio_crest_factor,audio_shape_factor,audio_impulse_factor,audio_clearance_factor,audio_sma,audio_zcr,audio_autocorr_lag1,audio_jerk_rms,audio_jerk_std,audio_temporal_variance,audio_temporal_stability,audio_noise_floor,sound_peak_mean,sound_peak_max,sound_peak_std,temp_current,temp_baseline_relative,temp_moving_avg,temp_moving_std,temp_variance,temp_slope,temp_rate_of_rise,temp_rate_of_fall,temp_stability,temp_ambient_mean,temp_ambient_max,temp_ambient_min,temp_delta_mean
11307.0,LAPTOP_IDLE_01,idle_01,IDLE_NORMAL,0,76.08,859.8239608801956,863.5279657760145,6383.303973553481,79.89558168981237,460.0,1084.0,1084.0,624.0,856.0,108.0,-0.2468394641394828,1.0939037872721187,1.2553154535355455,1.0043078642412138,1.2607231820907343,1.2635163398591325,859.8239608801956,-255.17848410757946,265.17468523962003,5201.554940489356,72.12180627583696,-584.0,0.0,584.0,584.0,-252.0,80.0,-0.2561576422113692,1.5747367830375198,2.2023218372827604,1.0391733698315535,2.288594205111375,2.3446736650026754,255.17848410757946,-13709.496332518338,13710.075094624555,15869.408910754959,125.97384216874136,-14224.0,-13144.0,14224.0,1080.0,-13708.0,132.0,-0.03953037454021923,3.107934648243739,1.0374851998860244,1.000042216146471,1.03752899851326,1.0375508991130988,13709.496332518338,13739.227467343293,13739.801936768,15785.862213319104,125.64180121806238,13179.25703520498,14245.448957474102,14245.448957474102,1066.1919222691213,13737.16535534169,136.3240347065166,0.029108206560363635,3.0810626218949393,1.0368016237084132,1.0000418123526285,1.036844974823585,1.0368666526414376,13739.227467343293,0.0,31578347711471.55,0.0010442225684036057,0.17843948846743515,0.0,0.0009556131941145828,2.2909019701946892e-05,0.9266269223707894,31578347711471.55,0.0,0.0,0.0,0.0,-0.3594029811076186,207.39545343651437,207.39545142184818,15785.862213319104,0.00914475006085245,339.83692844885377,340.13792901859125,204.67281950483365,14.306390862297649,294.5689630697708,388.1107393566944,388.1107393566944,93.54177628692361,338.94376230283393,17.825967302959953,0.2593692040056972,0.2940133360671102,1.1410392850787894,1.0008857206016735,1.1420499270842601,1.1425542334626189,339.83692844885377,0.0,19336257420.291325,0.012001464783492522,0.5254853712674766,0.0,0.016266819111671826,0.00045283293624655854,0.7350146072093213,19336257420.291325,0.0,0.26351589242053786,0.3165303648666911,0.03075084632444808,0.17535919230096858,0.0,1.134,1.134,1.134,0.213,0.205,1.4263524218299097,2.8850789458071704,3.5825946647962095,1.201181305453743,4.303345749966891,4.795144003396964,0.26351589242053786,0.0024509803921568627,0.41624940911917546,0.189412792288042,0.18941234471960883,0.03075084632444808,0.6654596427742504,0.0936,1308.2102689486553,5630.0,870.6861694460983,31.11,6.109999999999999,30.964621026894868,0.10149212284907844,0.01030065100041243,0.1999999999999993,0.1999999999999993,0.0,0.0032776801226679954,30.56344743276284,30.59,30.55,0.40117359413202874
14142.0,LAPTOP_IDLE_01,idle_01,IDLE_NORMAL,0,74.52,860.9486552567237,865.6199158006976,8065.2516424459445,89.8067460853913,460.0,1228.0,1228.0,768.0,860.0,116.0,-0.18277257852991793,1.0845016445416462,1.4186364911240317,1.005425713269249,1.426333605959812,1.430319291290294,860.9486552567237,-251.76528117359413,268.7537479126848,8842.820212696002,94.0362707294159,-1252.0,80.0,1252.0,1332.0,-248.0,92.0,-2.8092582941996276,30.46449833476148,4.658539684447872,1.065821305665091,4.965170848989347,5.139409456858863,252.1564792176039,-13710.249388753056,13711.395357168678,31424.33878324496,177.26911401382068,-14552.0,-12440.0,14552.0,2112.0,-13716.0,156.0,0.8064357659752723,9.834336024528351,1.0613070093111108,1.0000835847971927,1.0613957184423206,1.0614403420129987,13710.249388753056,13740.19017216217,13741.320498999894,31063.089052776908,176.2472384259592,12489.901841087463,14572.157561596705,14572.157561596705,2082.2557205092417,13748.405580284574,153.32742787339157,-0.7621613562110193,9.523329165892006,1.0604626798899144,1.0000822642789189,1.0605499180876734,1.060593786194026,13740.19017216217,0.0,31584050852916.074,0.002082563767544737,0.24791877766050874,0.0,0.0017965392578797644,4.5790841579240344e-05,0.8998923625514568,31584050852916.074,0.0,0.0,0.0,0.0,-0.42675715535955894,298.0451109641734,298.0449905074589,31063.089052776908,0.012827132391735442,343.42277074752855,344.4375281898241,698.011357606345,26.419904572241457,294.5689630697708,620.4036025072711,620.4036025072711,325.8346394375003,340.761209652742,19.76769713768948,5.172823001700065,44.300310402891576,1.8012079164717418,1.0029548344714703,1.8065301877188624,1.8088309094788375,343.42277074752855,0.0,19787369245.147247,0.03250138736561488,0.8172789756168178,0.0,0.04873010380536598,0.0014298993728878596,0.6067548160719122,19787369245.147247,0.0,0.21628117359413204,0.2590889011125459,0.020349512628451534,0.14265171793024975,0.01,0.852,0.852,0.842,0.189,0.177,1.381933819480108,2.5197099002104366,3.2884465257022035,1.197926271663476,3.9393165013036495,4.379602562071229,0.21628117359413204,0.0,0.5037266347580983,0.1420641425139901,0.1420620312497288,0.020349512628451534,0.6595660403543974,0.066,1073.721271393643,4228.0,708.2638234314651,31.05,6.050000000000001,31.05577017114915,0.06625103027455562,0.004389199012440084,0.120000000000001,0.120000000000001,0.0,0.0021332921356421427,30.577579462102687,30.61,30.55,0.4781907090464546
16967.0,LAPTOP_IDLE_01,idle_01,IDLE_NORMAL,0,72.08,857.4376528117359,860.96467189959,6060.837799869681,77.85138277429425,584.0,1228.0,1228.0,644.0,860.0,100.0,0.16828984937826985,1.2736542060287306,1.4263070716817858,1.0041134408726793,1.4321741014890965,1.435139473394039,857.4376528117359,-251.24694376528117,267.5888536935477,8478.767869632533,92.08022518235136,-1252.0,196.0,1252.0,1448.0,-248.0,88.0,-2.89569472039409,35.23035132526347,4.678819699377898,1.0593526517754737,4.956520055733824,5.0996498124171525,252.59657701711492,-13716.704156479218,13717.705033774528,27458.47726878725,165.70599647806125,-14552.0,-12440.0,14552.0,2112.0,-13720.0,136.0,0.8624278283451935,13.59742924036211,1.0608188442724409,1.000072967768561,1.0608962498564323,1.060935189902589,13716.704156479218,13746.31504763767,13747.301384436265,27117.965613344117,164.6753339554656,12489.901841087463,14572.157561596705,14572.157561596705,2082.2557205092417,13745.893932371222,137.30506302272806,-0.801435430779591,13.207472195746824,1.060001316192371,1.0000717528147853,1.0600773742705611,1.060115619571698,13746.31504763767,0.0,31611882874997.117,0.0016036489667583522,0.20678874276129414,0.0,0.001594656551489704,4.0290284068700036e-05,0.9039425847187772,31611882874997.117,0.0,0.0,0.0,0.0,-0.2958839586827007,265.42564894159386,265.42562553578847,27117.965613344117,0.011979598414904173,343.850654854068,344.9770235204893,775.8739134847966,27.85451334137426,305.37342059190416,620.4036025072711,620.4036025072711,315.03018191536694,340.27638472864965,18.190334630928305,5.136026751646526,38.93106269135646,1.798391081742941,1.0032757496590956,1.804282160721111,1.8068027758677716,343.850654854068,0.0,19843074596.606297,0.03703239084081771,0.8731329292525707,0.0,0.054114397311341364,0.0016989633411796325,0.588925295510465,19843074596.606297,0.0,0.17380195599022008,0.20671474386234126,0.012523865424046963,0.11191007740166639,0.01,0.753,0.753,0.743,0.153,0.146,1.4970162008242593,4.147316247282684,3.642700962146893,1.189369483762333,4.3325173838081215,4.7940823759905395,0.17380195599022008,0.0,0.47929270000425117,0.11428474286176783,0.11428449557244741,0.012523865424046963,0.6438942307649829,0.055,862.9095354523228,3736.0,555.5381620715872,30.87,5.870000000000001,31.00672371638142,0.08124955941127238,0.006601490904525879,-0.23999999999999844,0.0,0.23999999999999844,0.002620385183286113,30.595476772616134,30.61,30.57,0.4112469437652815
19778.0,LAPTOP_IDLE_01,idle_01,IDLE_NORMAL,0,72.39,855.442542787286,857.9738456412299,4337.17579402323,65.85723797748605,680.0,1152.0,1152.0,472.0,860.0,88.0,0.30508218800413023,0.8631101017317748,1.3426982720407743,1.0029590565424689,1.3466713921487876,1.3486590169666353,855.442542787286,-246.9242053789731,258.299119641984,5746.872005786669,75.80812625165372,-664.0,216.0,664.0,880.0,-252.0,76.0,1.0398477809292899,8.804402623255278,2.570663039493777,1.0348360231677398,2.6602147167043335,2.7150381492797826,249.6039119804401,-13722.01466992665,13723.977918842278,53883.31518821624,232.1277992576853,-16084.0,-11264.0,16084.0,4820.0,-13716.0,116.0,-0.7630467973100545,64.78965889536153,1.1719634128758227,1.000143072935123,1.172131089121245,1.1722149242407096,13722.01466992665,13751.256842980285,13753.196263846548,53342.71027055286,230.9604084481859,11325.559765415572,16101.890572227847,16101.890572227847,4776.330806812275,13744.980756625308,120.8653675154128,0.8257800951634006,63.86728075519444,1.170774434053138,1.000141035898566,1.1709395552775481,1.1710220575624029,13751.256842980285,0.0,31636807701345.613,0.0040222428436303154,0.35080156701468185,0.0,0.00293371764374755,4.8398085777320515e-05,0.8818526348390043,31636807701345.613,0.0,0.0,0.0,0.0,-0.6900448422587975,425.11757004491614,425.11756822126364,53342.71027055286,0.01679558538433302,346.4792334781056,349.88768511439355,2373.5329631334052,48.718917918334405,306.4547568630645,860.8924799323083,860.8924799323083,554.4377230692438,341.42249194216834,16.72359110390704,7.352113150434837,61.50685170699745,2.460482367787207,1.009837390833103,2.484687094484191,2.4932838471921626,346.4792334781056,0.0,20280249423.92015,0.08516078563079871,1.291199574429794,0.0,0.14451006848929068,0.004527331570932506,0.4602969424685939,20280249423.92015,0.0,0.1674425427872861,0.20519692968244002,0.014068774816028121,0.11861186625303609,0.002,1.404,1.404,1.402,0.153,0.127,4.148302070907102,34.31989451450271,6.84220760676392,1.22547666226999,8.384965781358403,9.255140752770536,0.1674425427872861,0.0,0.4528567610103617,0.12418141773149444,0.12418098341790278,0.014068774816028121,0.7083735326173555,0.058800000000000005,831.4547677261613,6971.0,588.7671911810763,31.05,6.050000000000001,30.958264058679706,0.058482594774817945,0.0034202138915955635,0.0,0.0,0.0,0.0018890786208838547,30.60828850855746,30.63,30.59,0.34997555012225007
22562.0,LAPTOP_IDLE_01,idle_01,IDLE_NORMAL,0,72.92,847.7066014669927,850.5565098969718,4839.894357398628,69.56934926674698,660.0,1152.0,1152.0,492.0,848.0,88.0,0.08912104413569524,0.774267482946922,1.3544073634075033,1.0033619042532451,1.3589607512847672,1.3612612230311927,847.7066014669927,-247.33496332518337,257.0732393049657,4912.066283678361,70.08613474631314,-428.0,216.0,428.0,644.0,-252.0,76.0,1.3319175911457741,6.041235104803842,1.6648951915628962,1.0321895358056703,1.7184873949510833,1.7531898315353944,249.0562347188264,-13727.256723716382,13729.309168686848,56353.09057215105,237.38805903446587,-16084.0,-11264.0,16084.0,4820.0,-13724.0,120.0,-0.5987073929765895,59.08620117610011,1.171508325901965,1.0001495160330118,1.1716834851795797,1.1717711522632668,13727.256723716382,13755.998983652476,13758.032681902003,55955.23803565631,236.5485955055669,11325.559765415572,16101.890572227847,16101.890572227847,4776.330806812275,13747.945301025895,122.21593413958544,0.6595706123410391,57.897512325040914,1.170362866880517,1.000147840825733,1.170535894293249,1.1706224345867846,13755.998983652476,0.0,31658846896233.066,0.004233226917903759,0.3613003130580549,0.0,0.0030677136297784366,5.310313540748591e-05,0.8786019938534952,31658846896233.066,0.0,0.0,0.0,0.0,-0.6851525725159616,434.7927802053043,434.7927796580743,55955.23803565631,0.017196031766697734,347.185554661453,350.4677002359068,2289.7995430646974,47.85184994401677,307.0694677169972,860.8924799323083,860.8924799323083,553.8230122153111,342.22238092211325,18.984445805790642,7.598804942304547,65.46330510662656,2.456410332108688,1.0094535775736546,2.4796321977430793,2.4878419914609684,347.185554661453,0.0,20355205267.16541,0.08076626250094385,1.2544904572108908,0.0,0.13949050423020443,0.004511647427451384,0.4643226503891758,20355205267.16541,0.0,0.1544083129584352,0.2015741656420255,0.016790217143608656,0.12957707028486426,0.002,1.404,1.404,1.402,0.133,0.11800000000000001,4.703416559025681,36.12935779089753,6.96517824376452,1.3054618658441328,9.09277463115062,10.277037815818845,0.1544083129584352,0.0,0.42321234128165197,0.13927713415359758,0.13927713309686296,0.016790217143608656,0.8391845423540133,0.046,766.6992665036674,6971.0,643.2174473850106,30.97,5.969999999999999,30.989902200489,0.06041413895659611,0.0036498681858669036,0.09999999999999787,0.09999999999999787,0.0,0.0019494782062814428,30.61533007334964,30.67,30.59,0.374572127139365
25302.0,LAPTOP_IDLE_01,idle_01,IDLE_NORMAL,0,73.86,850.7286063569683,854.1892737581192,5900.153729353603,76.81245816502427,480.0,1260.0,1260.0,780.0,852.0,88.0,0.12645436665241375,2.9990591560801807,1.475082910436217,1.0040678864849346,1.4810833802734724,1.484136280989089,850.7286063569683,-252.31295843520783,267.0886229668673,7674.503524010496,87.60424375571367,-896.0,312.0,896.0,1208.0,-256.0,76.0,-0.961120725977898,15.907459091286334,3.3546917500405673,1.0485625532061804,3.517604146655417,3.598517164446933,254.71882640586796,-13729.877750611247,13732.618719667254,75273.8530257471,274.3608081081318,-15680.0,-11716.0,15680.0,3964.0,-13724.0,120.0,-0.5773378395778304,25.603634052025438,1.1418069867142417,1.0001996353576335,1.142034931760466,1.1421486951613002,13729.877750611247,13759.037498113408,13761.75107127277,74679.6731863872,273.27581888338966,11743.192070301839,15696.71048341021,15696.71048341021,3953.5184131083715,13751.566601663972,123.63856157612281,0.5902669328422735,25.598705472573968,1.1406041572845673,1.0001972211470995,1.1408291085449362,1.1409413620797335,13759.037498113408,0.0,31674398517962.848,0.005972663512764441,0.43939417311991286,0.0,0.0039019074661754438,5.4350665920665154e-05,0.8731702362228217,31674398517962.848,0.0,0.0,0.0,0.0,-0.7410809189550833,510.5503386419531,510.5503329178335,74679.6731863872,0.019861550556922344,343.07040814158046,343.68153002778547,419.6891398089624,20.486315915970895,304.3488360483739,572.3654269817491,572.3654269817491,268.0165909333752,342.1566863353689,20.565438626685648,3.822335441473194,38.090096644409726,1.665394782587851,1.001781330801784,1.6683614016160595,1.6697275740086694,343.07040814158046,0.0,19723625877.572914,0.022110709142516834,0.6904431422596005,0.0,0.03107628567521195,0.0009957070490380204,0.6573791278825342,19723625877.572914,0.0,0.14599755501222494,0.18711843326743535,0.01369802199891201,0.11703854920030413,0.002,1.235,1.235,1.233,0.123,0.103,4.061153509786269,28.979856091925626,6.600097979843614,1.2816545590103385,8.4590457109884,9.533662344046949,0.14599755501222494,0.0,0.4541066666044319,0.12239076762566693,0.12239039027505438,0.01369802199891201,0.8016473179215687,0.042,724.8435207823961,6133.0,581.0957484896852,30.99,5.989999999999998,31.000415647921766,0.04527636785558153,0.002049949486193936,-0.060000000000002274,0.0,0.060000000000002274,0.0014605084128011135,30.621295843520787,30.67,30.59,0.379119804400978
28137.0,LAPTOP_IDLE_01,idle_01,IDLE_NORMAL,0,73.18,871.8630806845965,879.8738295859356,14032.724529384688,118.45980132257814,480.0,1260.0,1260.0,780.0,868.0,116.0,0.12452320824230016,0.8555290072367958,1.4320234988595102,1.0091880813373124,1.4451810472456168,1.4519755023131788,871.8630806845965,-265.96577017114913,296.05715433140074,16912.047728074318,130.04632916032008,-1248.0,312.0,1248.0,1560.0,-260.0,100.0,-1.8524883195481832,15.00330035288,4.215402268572768,1.0942289546457198,4.612615217767155,4.812565050224082,270.5623471882641,-13711.911980440098,13716.210710836236,117906.10472199472,343.37458368667114,-15680.0,-11716.0,15680.0,3964.0,-13716.0,124.0,-0.038867579293917404,15.320424863910585,1.1431728726368402,1.0003135033539647,1.1435312611666568,1.1437111197849015,13711.911980440098,13743.369562396538,13747.591209323897,116057.13007210688,340.67158682829256,11743.192070301839,15696.71048341021,15696.71048341021,3953.5184131083715,13746.158736170626,124.78823167182418,0.06257180939187132,15.42841541853133,1.141778966540934,1.0003071769923082,1.14212969476984,1.1423056470511959,13743.369562396538,0.0,31605776971612.203,0.00857517244693446,0.5115762866137605,0.0,0.006005978998022745,0.00012814395387651504,0.8337221275795536,31605776971612.203,0.0,0.0,0.0,0.0,-0.6177495135911076,613.5296227831668,613.5296134402543,116057.13007210688,0.024788068550552912,348.59913753516145,351.63993988779686,2129.288634035011,46.14421560753862,290.4348429579344,814.9306804900648,814.9306804900648,524.4958375321304,342.25777712712386,23.58077492231058,6.164359246133711,48.81556015098774,2.317514559773215,1.0087229198933976,2.3377300536365473,2.3454482205948084,348.59913753516145,0.0,20506309169.060112,0.09620801738106488,1.3710601635940975,0.0,0.13073387263156808,0.003964741948390937,0.47175521864646713,20506309169.060112,0.0,0.1655476772616137,0.21939837163655662,0.02072961203005721,0.14397781784030902,0.002,1.18,1.18,1.178,0.134,0.112,3.2430424243548868,15.562581207968499,5.378344359712838,1.3252881220710513,7.127855928823449,8.19717462029387,0.1655476772616137,0.0,0.5582500396160348,0.13545136961069004,0.13545135462029778,0.02072961203005721,0.8697060529763637,0.046,821.8777506112469,5859.0,714.8905397559777,30.97,5.969999999999999,30.99102689486553,0.021619554681743487,0.0004674051446368967,0.0,0.0,0.0,0.0006976069155239165,30.630977995110023,30.67,30.61,0.36004889975550064
30863.0,LAPTOP_IDLE_01,idle_01,IDLE_NORMAL,0,73.37,866.6210268948655,877.507472505607,18987.360046867245,137.79462996382424,224.0,1336.0,1336.0,1112.0,860.0,172.0,-0.02966120887962592,1.0997674146317022,1.5224941574385749,1.0125619449238792,1.5416196451930029,1.5518645547522705,866.6210268948655,-262.88508557457214,312.6176570685067,28621.231293452336,169.17810524252934,-1248.0,936.0,1248.0,2184.0,-264.0,136.0,0.2955809843853004,16.120716863848994,3.9920969650237086,1.1208764792460972,4.474647590979118,4.729972578438124,278.9046454767726,-13721.506112469438,13733.917022909962,340746.79763989936,583.7352119239505,-19656.0,-8948.0,19656.0,10708.0,-13716.0,152.0,-0.6094255218101854,42.68945862293592,1.4312013074791263,1.0009044860190852,1.432495809052342,1.4331520702584355,13721.506112469438,13753.157236311108,13765.47223875702,338891.9892935944,582.1443028095306,9028.772674068165,19699.84202982349,19699.84202982349,10671.069355755324,13746.940314120811,154.97388730456987,0.679173117652758,42.91653847872734,1.431105427270172,1.0008954309351161,1.4323868833412665,1.4330354342281746,13753.157236311108,0.0,31669434830713.48,0.02440237284848823,0.8475681102275935,0.0,0.016231328618589558,0.000339584206187542,0.7453672852001102,31669434830713.48,0.0,0.0,0.0,0.0,-0.6010178063004871,1042.961175081899,1042.961134349219,338891.9892935944,0.0423280482297192,363.18633930791924,374.5243186375803,8364.148191056669,91.45571710427221,290.4348429579344,1318.6555281816402,1318.6555281816402,1028.220685223706,342.2734024197615,24.53288739918719,5.539963916020532,39.690622432533736,3.5208809216315697,1.0312180776133686,3.6307960555201872,3.6689374694669192,363.18633930791924,0.0,22764667598.86904,0.3452988096267048,2.67357485804073,0.0,0.4030036860799542,0.014241741951392032,0.3212253497958696,22764667598.86904,0.0,0.17308557457212714,0.2555287341676667,0.03533631786036669,0.18797956766725124,0.001,1.191,1.191,1.1900000000000002,0.116,0.139,2.883574387275648,10.12931714654229,4.660923943518596,1.4763144376591009,6.880989337575932,8.466018796108234,0.17308557457212714,0.0,0.6313154427280794,0.1615615207900693,0.16156087066661765,0.03533631786036669,1.0860498747275307,0.0378,859.3300733496333,5915.0,933.2845309689646,30.93,5.93,30.959046454767726,0.0347301197239178,0.001206181216037664,-0.05999999999999872,0.0,0.05999999999999872,0.0011218084437302658,30.647603911980447,30.67,30.61,0.3114425427872851
33759.0,LAPTOP_IDLE_01,idle_01,IDLE_NORMAL,0,72.57,845.6136919315403,851.827318152629,10547.26396901023,102.69987326676811,224.0,1336.0,1336.0,1112.0,844.0,112.0,-0.05111649043529994,5.026051948861909,1.568392996477074,1.0073480671840687,1.579917653588065,1.5860908625561791,845.6136919315403,-248.41075794621028,284.1826610493255,19051.880177665127,138.0285484154098,-1184.0,936.0,1184.0,2120.0,-252.0,96.0,1.6781681679354197,28.05650003179822,4.1663344119025165,1.083675583358795,4.514954874302169,4.684372196651767,262.23960880195597,-13742.41564792176,13753.073513970781,293043.2404397391,541.3346843125231,-19656.0,-8948.0,19656.0,10708.0,-13740.0,152.0,-0.7456656016516138,57.56319281136552,1.429207804352345,1.0007755453132166,1.4303162197667272,1.430879025422831,13742.41564792176,13771.747156841275,13782.35831218579,292380.89351101243,540.7225661196437,9028.772674068165,19699.84202982349,19699.84202982349,10671.069355755324,13767.2928348314,146.00098268427973,0.8339244665436835,57.516222238374446,1.4293520443743126,1.0007705017542559,1.430453362632056,1.4310114090572326,13771.747156841275,0.0,31751139929252.293,0.02117684087635947,0.7891968455442588,0.0,0.014161491092396436,0.0002710274586739262,0.7595179243750099,31751139929252.293,0.0,0.0,0.0,0.0,-0.6368760053868795,979.5548646318348,979.554863740378,292380.89351101243,0.03926317844508162,354.6152136623574,364.19172565529936,6883.663274985433,82.96784482548304,300.72643715509946,1318.6555281816402,1318.6555281816402,1017.9290910265407,339.14511643837653,21.20926749598891,6.8259539393709545,58.64127259320743,3.6207728931933567,1.0270053613690504,3.7185531736195157,3.750585504988002,354.6152136623574,0.0,21611664946.087704,0.28756878364729876,2.455535946720659,0.0,0.35404134965579825,0.013497777993028601,0.3361689929268458,21611664946.087704,0.0,0.16922493887530565,0.23492377684920562,0.026552100991744428,0.16294815430603818,0.001,1.191,1.191,1.1900000000000002,0.13,0.129,3.1904481028074465,13.6388262264453,5.069729470996703,1.3882337734751777,7.037969703978592,8.300526406798088,0.16922493887530565,0.0,0.601914598835737,0.1454748479035088,0.14547466546448243,0.026552100991744428,0.9629086257977544,0.039,840.1026894865525,5915.0,808.9694577590051,30.99,5.989999999999998,30.94393643031785,0.04943105017832072,0.002443428721731661,0.019999999999999574,0.019999999999999574,0.0,0.0015974389776826315,30.661491442542793,30.69,30.63,0.2824449877750599
36492.0,LAPTOP_IDLE_01,idle_01,IDLE_NORMAL,0,72.48,835.4132029339853,838.2557043747871,4757.40628045026,68.97395363795134,644.0,1044.0,1044.0,400.0,832.0,92.0,0.01185507709794819,0.0810210100197466,1.2454433588106888,1.003402509596228,1.2496809917920912,1.2518264884927828,835.4132029339853,-248.94865525672373,258.295257598353,4741.007143668438,68.85497181517424,-424.0,212.0,424.0,636.0,-248.0,84.0,1.5302390555361978,8.868722728211342,1.64153226791982,1.0289745622521673,1.6890949468121437,1.7177711004590728,251.02200488997556,-13735.022004889976,13735.871276557646,23330.251349525653,152.74243467198517,-15308.0,-12720.0,15308.0,2588.0,-13736.0,116.0,-4.564846797844565,57.359634861434905,1.114454241146269,1.0000618325668766,1.1145231507127469,1.1145568101605334,13735.022004889976,13762.999824613566,13763.849345011593,23384.6198630718,152.92030559435787,12748.59239288793,15339.788264510042,15339.788264510042,2591.1958716221125,13761.279591665885,118.30954494394427,4.594464887005376,57.597843142407456,1.1144984139243357,1.0000617249442603,1.114567206276894,1.1146008037160915,13762.999824613566,0.0,31688350384206.336,0.0010164343577821556,0.1486817967748622,0.0,0.0013982241118060152,4.5484175847772304e-05,0.9066250425622405,31688350384206.336,0.0,0.0,0.0,0.0,0.10709505282810053,204.5446278625075,204.54462436927878,23384.6198630718,0.011110971993247148,338.5268968688627,338.9124503994871,261.18913212323633,16.161346853626906,294.0426193666489,435.5119998392696,435.5119998392696,141.46938047262068,338.03671103002995,18.528087909141846,1.1278638695656449,5.7302329001912735,1.2850280340088789,1.001138915498855,1.286491572357071,1.2872091559801435,338.5268968688627,0.0,19192325522.74976,0.013128086372276918,0.5118434691390527,0.0,0.020534391578059447,0.0005520446460081645,0.7105586779778772,19192325522.74976,0.0,0.16410513447432762,0.18788202483666105,0.008369160095886563,0.09148311371989129,0.002,0.872,0.872,0.87,0.148,0.11,1.5666422523678745,8.153425876280403,4.641210334606943,1.1448881492563228,5.313666738579394,5.775933042000656,0.16410513447432762,0.0,0.30521584483535547,0.10779309110604483,0.10779295063858381,0.008369160095886563,0.5574664891227782,0.0646,814.6039119804401,4329.0,454.1186305854926,30.93,5.93,30.955867970660147,0.04788731859469489,0.002293195282189811,0.0,0.0,0.0,0.001546954478502601,30.674400977995113,30.71,30.63,0.28146699266503494
