timestamp_ms,object_temp_c,ambient_temp_c
6324,30.91,30.55
6827,30.93,30.59
7402,30.91,30.55
7909,30.79,30.55
8388,30.87,30.55
8889,30.93,30.55
9378,30.99,30.55
9900,31.13,30.57
10324,31.13,30.57
10828,31.01,30.59
11414,31.11,30.59
11830,31.11,30.59
12412,31.01,30.57
12868,31.13,30.61
13350,31.01,30.57
13861,31.07,30.59
14348,31.05,30.61
14875,30.93,30.59
15390,30.99,30.61
15824,30.91,30.61
16324,30.91,30.61
16834,30.87,30.59
17341,30.87,30.59
17850,30.99,30.61
18450,31.01,30.63
18890,30.99,30.61
19380,31.01,30.63
19888,31.05,30.61
20388,30.91,30.61
20827,31.05,30.59
21327,31.07,30.67
21824,31.01,30.61
22323,30.97,30.61
22828,31.05,30.63
23327,30.99,30.63
23854,30.97,30.61
24386,30.97,30.61
25001,30.99,30.63
25324,30.99,30.67
25931,30.99,30.63
26323,30.99,30.61
26939,30.99,30.63
27367,31.01,30.67
27852,30.97,30.63
28373,30.97,30.63
28858,30.93,30.67
29389,30.91,30.67
29896,30.91,30.67
30330,30.93,30.63
30824,30.93,30.67
31331,30.99,30.69
31841,30.91,30.67
32378,30.87,30.63
32970,31.05,30.67
33410,30.99,30.67
33900,30.99,30.67
34411,30.93,30.67
34894,30.93,30.69
35337,30.97,30.71
35831,30.97,30.67
36337,30.93,30.69
36831,30.87,30.67
37355,30.93,30.67
37869,30.97,30.69
38331,30.97,30.67
38824,30.93,30.69
39328,30.97,30.69
39824,30.93,30.69
40327,30.99,30.71
40930,30.99,30.69
41365,31.05,30.71
41858,31.05,30.73
42376,30.99,30.73
42860,31.11,30.73
43380,30.99,30.73
43894,31.05,30.71
44395,31.05,30.69
44824,31.13,30.75
45324,31.11,30.73
45827,31.11,30.73
46323,30.99,30.73
46834,31.07,30.75
47441,31.11,30.71
47882,31.11,30.75
48364,31.11,30.73
48876,31.11,30.73
49366,31.11,30.75
49894,31.07,30.73
50323,31.07,30.73
50823,31.01,30.77
51327,31.11,30.75
51828,31.11,30.75
52327,31.13,30.77
52831,31.13,30.75
53342,31.07,30.79
53886,30.99,30.77
54373,31.05,30.75
54886,30.99,30.75
55369,31.05,30.77
55882,31.07,30.79
56391,31.01,30.77
56827,30.99,30.77
57324,30.99,30.79
57835,31.01,30.79
58335,31.05,30.79
58863,31.01,30.79
59380,31.11,30.81
59827,31.07,30.79
60415,31.05,30.79
60823,31.07,30.79
61411,31.05,30.77
61846,31.13,30.77
62337,31.07,30.79
62850,31.11,30.79
63338,31.05,30.83
63848,31.07,30.83
64354,31.07,30.81
64885,31.05,30.79
65395,31.01,30.79
65919,31.07,30.79
66324,31.07,30.81
66908,31.07,30.85
67416,31.05,30.79
67841,31.07,30.83
68347,31.11,30.81
68833,31.13,30.85
69343,31.07,30.83
69845,31.01,30.83
70380,31.11,30.81
70890,31.05,30.81
71324,31.13,30.85
