timestamp_ms,object_temp_c,ambient_temp_c
157437,30.43,30.53
157926,30.33,30.53
158467,30.33,30.55
159025,30.37,30.51
159437,30.45,30.53
159936,30.37,30.49
160488,30.47,30.49
160926,30.51,30.53
161437,30.47,30.55
161950,30.51,30.53
162485,30.43,30.53
163007,30.33,30.53
163446,30.43,30.51
163955,30.45,30.55
164490,30.51,30.55
165002,30.43,30.51
165447,30.47,30.55
165951,30.37,30.55
166481,30.43,30.53
166985,30.37,30.55
167445,30.43,30.55
167945,30.51,30.55
168480,30.47,30.53
168987,30.47,30.55
169520,30.47,30.55
169945,30.33,30.53
170449,30.43,30.51
170975,30.37,30.53
171490,30.37,30.55
171947,30.45,30.51
172447,30.59,30.53
172975,30.47,30.51
173476,30.45,30.53
173938,30.43,30.51
174450,30.47,30.53
174984,30.51,30.55
175485,30.45,30.55
176011,30.45,30.55
176440,30.43,30.55
176970,30.39,30.55
177468,30.47,30.53
178001,30.37,30.57
178430,30.39,30.55
178952,30.39,30.57
179454,30.33,30.53
179988,30.39,30.55
180433,30.39,30.55
180943,30.37,30.55
181464,30.37,30.55
181987,30.37,30.59
182492,30.33,30.55
182933,30.31,30.57
183453,30.37,30.55
183956,30.45,30.55
184477,30.33,30.57
184997,30.37,30.53
185429,30.45,30.57
185931,30.31,30.55
186457,30.33,30.57
186972,30.37,30.55
187426,30.37,30.57
187926,30.45,30.55
188450,30.37,30.55
188952,30.37,30.55
189492,30.43,30.57
189926,30.37,30.53
190449,30.45,30.55
190957,30.33,30.57
191482,30.29,30.55
192005,30.33,30.55
192452,30.37,30.57
192952,30.37,30.57
193482,30.33,30.57
194001,30.37,30.53
194429,30.33,30.53
194934,30.39,30.55
195473,30.47,30.55
195995,30.45,30.53
196426,30.53,30.53
196929,30.43,30.57
197463,30.43,30.55
197981,30.39,30.55
198425,30.43,30.57
198941,30.43,30.53
199467,30.39,30.55
199990,30.45,30.55
200433,30.31,30.55
200948,30.31,30.53
201474,30.33,30.53
201979,30.37,30.55
202514,30.33,30.55
202951,30.33,30.55
203455,30.39,30.55
203981,30.45,30.55
204437,30.43,30.51
204946,30.47,30.51
205453,30.47,30.57
205999,30.43,30.55
206433,30.43,30.57
206967,30.37,30.55
207476,30.31,30.53
208004,30.37,30.55
208440,30.33,30.55
208965,30.33,30.57
209470,30.39,30.55
210008,30.39,30.53
210432,30.47,30.55
210960,30.51,30.55
211459,30.47,30.57
211998,30.33,30.53
212429,30.33,30.57
212962,30.39,30.55
213469,30.37,30.57
214010,30.39,30.53
214445,30.39,30.57
214980,30.31,30.53
215481,30.39,30.57
216019,30.37,30.53
216528,30.33,30.55
216983,30.37,30.55
217489,30.39,30.57
218018,30.33,30.57
218521,30.37,30.55
218952,30.37,30.53
219486,30.37,30.55
219997,30.37,30.55
220519,30.43,30.55
221029,30.33,30.55
221480,30.33,30.53
221989,30.39,30.55
222512,30.29,30.57
223014,30.33,30.55
223556,30.33,30.55
223984,30.31,30.53
224518,30.39,30.53
225016,30.31,30.53
225544,30.31,30.53
225973,30.33,30.55
226500,30.33,30.53
227005,30.31,30.55
227430,30.33,30.53
227960,30.39,30.55
228488,30.33,30.53
228993,30.33,30.53
229517,30.31,30.53
229960,30.33,30.51
230467,30.31,30.53
230984,30.37,30.53
231489,30.43,30.55
231947,30.45,30.55
232447,30.45,30.55
232981,30.37,30.55
233479,30.37,30.55
234013,30.39,30.55
234454,30.43,30.59
234984,30.33,30.55
235490,30.37,30.55
236014,30.47,30.57
236454,30.37,30.57
236979,30.39,30.57
237482,30.37,30.57
238008,30.43,30.55
238521,30.37,30.57
238971,30.33,30.55
239476,30.33,30.55
240002,30.39,30.57
240506,30.37,30.55
240956,30.39,30.55
241465,30.45,30.57
241987,30.51,30.57
242491,30.47,30.57
243015,30.45,30.55
243449,30.47,30.55
243977,30.33,30.55
244489,30.37,30.55
245014,30.39,30.55
245445,30.37,30.57
245947,30.33,30.57
246474,30.33,30.55
246975,30.37,30.55
247432,30.37,30.57
247947,30.33,30.55
248469,30.39,30.57
248977,30.37,30.57
249517,30.37,30.57
249943,30.39,30.55
250471,30.39,30.57
250970,30.37,30.55
251495,30.37,30.57
251937,30.37,30.57
252461,30.39,30.55
252969,30.43,30.59
253495,30.33,30.55
253936,30.37,30.57
254461,30.43,30.55
254967,30.39,30.59
255499,30.47,30.55
255955,30.37,30.55
256484,30.37,30.55
256981,30.43,30.61
257507,30.43,30.59
257955,30.39,30.55
258478,30.43,30.57
258996,30.39,30.57
259526,30.33,30.57
259960,30.37,30.57
260457,30.33,30.55
260980,30.37,30.55
