timestamp_ms,object_temp_c,ambient_temp_c
6433,30.37,30.51
6926,30.43,30.53
7505,30.37,30.51
7992,30.43,30.51
8475,30.33,30.53
8992,30.37,30.53
9486,30.37,30.53
9926,30.43,30.51
10517,30.33,30.51
10926,30.45,30.51
11508,30.37,30.53
11926,30.43,30.53
12430,30.43,30.49
12952,30.37,30.55
13437,30.43,30.53
13953,30.37,30.53
14440,30.37,30.51
14971,30.43,30.51
15478,30.33,30.55
15933,30.33,30.53
16426,30.37,30.53
16926,30.43,30.53
17429,30.47,30.53
17933,30.47,30.53
18430,30.47,30.51
19043,30.47,30.51
19464,30.43,30.53
19976,30.45,30.53
20466,30.51,30.49
20976,30.45,30.53
21484,30.37,30.51
21940,30.37,30.53
22437,30.37,30.51
22944,30.37,30.53
23451,30.37,30.51
23980,30.43,30.47
24489,30.37,30.49
25002,30.45,30.51
25426,30.43,30.53
25930,30.37,30.51
26426,30.51,30.53
26933,30.51,30.53
27548,30.43,30.51
27965,30.47,30.53
28475,30.37,30.53
28964,30.43,30.51
29483,30.39,30.49
29997,30.37,30.51
30440,30.33,30.51
30926,30.43,30.51
31430,30.43,30.51
31926,30.31,30.51
32448,30.43,30.49
32965,30.43,30.51
33594,30.33,30.51
34006,30.33,30.53
34515,30.37,30.49
35008,30.33,30.51
35513,30.37,30.51
35934,30.39,30.53
36443,30.45,30.53
36929,30.45,30.55
37440,30.43,30.49
37945,30.43,30.51
38487,30.37,30.53
38994,30.45,30.51
39426,30.45,30.53
39926,30.33,30.51
40426,30.37,30.51
40937,30.33,30.51
41548,30.37,30.51
41979,30.43,30.47
42487,30.43,30.53
42988,30.43,30.51
43503,30.43,30.53
43936,30.37,30.47
44437,30.31,30.53
44933,30.39,30.55
45433,30.33,30.51
45948,30.43,30.51
46459,30.43,30.53
47001,30.45,30.53
47433,30.39,30.49
47926,30.51,30.51
48518,30.45,30.53
48938,30.43,30.53
49452,30.37,30.53
49979,30.33,30.53
50467,30.31,30.51
50980,30.37,30.51
51475,30.33,30.55
51998,30.37,30.49
52426,30.45,30.51
52926,30.45,30.51
53426,30.45,30.51
53930,30.33,30.49
54433,30.39,30.55
54960,30.45,30.51
55480,30.37,30.51
56014,30.45,30.53
56506,30.45,30.53
57015,30.43,30.51
57508,30.33,30.51
57949,30.43,30.51
58439,30.47,30.51
58953,30.37,30.51
59444,30.43,30.49
59974,30.31,30.49
60486,30.29,30.51
61023,30.37,30.51
61426,30.33,30.49
61930,30.45,30.49
62429,30.37,30.51
62933,30.43,30.49
63449,30.37,30.53
64051,30.33,30.51
64503,30.39,30.51
64988,30.33,30.49
65504,30.39,30.49
65991,30.31,30.49
66426,30.33,30.53
66926,30.43,30.53
67426,30.37,30.51
67926,30.45,30.51
68426,30.33,30.53
68929,30.43,30.49
69465,30.37,30.51
69968,30.31,30.49
70512,30.37,30.51
71007,30.37,30.49
71514,30.37,30.51
72023,30.37,30.51
72460,30.29,30.51
72955,30.31,30.49
73461,30.37,30.51
73948,30.37,30.53
74479,30.43,30.49
74983,30.33,30.51
75433,30.37,30.51
75936,30.39,30.49
76433,30.43,30.53
76926,30.33,30.53
77454,30.33,30.49
77959,30.37,30.51
78506,30.43,30.51
78925,30.33,30.53
79530,30.31,30.51
79937,30.39,30.49
80537,30.45,30.51
81043,30.37,30.53
81455,30.37,30.51
81970,30.31,30.53
82464,30.37,30.53
82981,30.43,30.51
83485,30.37,30.53
83926,30.45,30.53
84426,30.33,30.53
84926,30.33,30.51
85440,30.39,30.47
85936,30.29,30.51
86442,30.37,30.51
87086,30.33,30.47
87498,30.37,30.51
88018,30.31,30.51
88502,30.31,30.49
89027,30.37,30.51
89441,30.33,30.51
89959,30.43,30.49
90441,30.37,30.51
90959,30.43,30.51
91452,30.39,30.49
91990,30.31,30.49
92501,30.37,30.51
92926,30.37,30.51
93437,30.31,30.47
93937,30.33,30.49
94440,30.33,30.53
94967,30.43,30.51
95497,30.37,30.51
96005,30.39,30.49
96494,30.29,30.49
97009,30.33,30.51
97503,30.33,30.51
97926,30.33,30.51
98429,30.39,30.51
98933,30.33,30.51
99430,30.37,30.51
99937,30.37,30.51
100474,30.31,30.49
100994,30.31,30.49
101429,30.33,30.51
101933,30.33,30.51
102454,30.25,30.49
102983,30.37,30.51
103426,30.31,30.51
103930,30.37,30.51
104433,30.33,30.51
104940,30.37,30.49
105489,30.33,30.51
105926,30.31,30.49
106426,30.43,30.49
106926,30.37,30.51
107450,30.33,30.51
107982,30.45,30.51
108444,30.45,30.51
108925,30.43,30.49
109442,30.39,30.49
109965,30.43,30.49
110434,30.31,30.49
110926,30.43,30.53
111430,30.45,30.53
111926,30.45,30.53
112465,30.47,30.51
112997,30.43,30.51
113425,30.39,30.49
113933,30.31,30.53
114440,30.47,30.49
114977,30.45,30.51
115498,30.43,30.49
115936,30.37,30.51
116429,30.37,30.49
116961,30.43,30.49
117491,30.37,30.49
117930,30.43,30.51
118433,30.45,30.53
118961,30.37,30.53
119481,30.45,30.51
119944,30.43,30.51
120426,30.37,30.51
120939,30.37,30.51
121461,30.37,30.49
121926,30.43,30.53
122426,30.37,30.51
122926,30.39,30.51
123435,30.43,30.51
123980,30.37,30.49
124433,30.45,30.49
124929,30.43,30.53
125433,30.33,30.51
125960,30.37,30.51
126489,30.37,30.51
126933,30.43,30.51
127426,30.37,30.51
127925,30.45,30.51
128448,30.43,30.49
129003,30.37,30.51
129437,30.45,30.49
129926,30.45,30.51
130426,30.45,30.51
130940,30.39,30.53
131485,30.43,30.51
131929,30.37,30.51
132433,30.47,30.51
132933,30.33,30.53
133481,30.31,30.49
134008,30.37,30.49
134426,30.37,30.51
134926,30.39,30.49
135463,30.37,30.53
135991,30.37,30.53
136426,30.39,30.49
136925,30.31,30.49
137443,30.33,30.49
137965,30.43,30.51
138426,30.33,30.51
138929,30.43,30.49
139426,30.45,30.53
139940,30.43,30.51
140494,30.39,30.49
140933,30.39,30.49
141433,30.33,30.51
141931,30.45,30.51
142491,30.37,30.51
142926,30.43,30.49
143426,30.43,30.49
143925,30.45,30.49
144427,30.39,30.51
144963,30.37,30.53
145510,30.37,30.51
145926,30.45,30.51
146426,30.51,30.51
146965,30.43,30.51
147487,30.45,30.51
147926,30.43,30.53
148447,30.43,30.47
148962,30.47,30.53
149490,30.43,30.51
149926,30.43,30.51
150433,30.45,30.53
150939,30.45,30.49
151460,30.45,30.51
151926,30.45,30.49
152429,30.43,30.49
152926,30.43,30.51
153437,30.51,30.51
153996,30.53,30.53
154426,30.45,30.51
154929,30.45,30.51
155426,30.45,30.51
155954,30.43,30.53
156485,30.39,30.51
156933,30.33,30.53
