timestamp_us,audio_adc
6136410,5914
6138012,7520
6139112,8079
6140312,6902
6141812,5751
6142912,7135
6144012,4214
6145112,6053
6146612,6192
6147712,6776
6148812,4897
6149912,6009
6151412,6363
6152512,7371
6153612,7626
6154712,4954
6156212,9596
6157312,6130
6158412,4734
6159512,6990
6161112,5857
6162212,6787
6163312,5936
6164412,7338
6165912,4861
6167012,4015
6168112,5621
6169212,4279
6170312,6843
6171812,4678
6172912,6694
6174012,6169
6175112,7325
6176612,5890
6177712,6009
6178812,6558
6179912,6094
6181412,7894
6182512,7020
6183612,4961
6184712,7917
6186212,5666
6187312,7569
6188412,6648
6189512,7509
6191012,6745
6192112,6592
6193212,6250
6194312,6058
6195412,7472
6196912,7015
6198012,4155
6199112,5168
6200212,5168
6201812,3728
6202912,5519
6204012,6826
6205112,4518
6206612,6957
6207712,5621
6208812,4541
6209912,5765
6211412,6083
6212512,6102
6295213,7830
6296813,6501
6298013,5039
6299213,6345
6300412,3728
6370313,6134
6371913,5771
6373113,6294
6374313,6425
6375572,5511
6377112,5446
6378212,4799
6379412,6515
6380912,4939
6382171,5289
6383312,6930
6384512,6451
6386012,6527
6387212,8963
6388312,9490
6389512,9605
6391012,7335
6392112,6613
6393312,7829
6394412,7605
6395912,5798
6397012,4739
6398212,4851
6399312,7468
6400512,7605
6402012,5769
6403112,6359
6404312,6238
6405412,5463
6406912,6104
6408012,5694
6409212,5448
6410312,5199
6411912,4453
6413112,5571
6414212,7137
6415412,5017
6416912,4885
6418112,6970
6419212,6440
6420412,5230
6421912,4727
6423012,6256
6424212,5220
6425312,5658
6442112,5493
6443612,5661
6444712,5193
6446212,4595
6447312,5816
6448412,5298
6449512,5862
6451012,6023
6452112,6778
6453212,7677
6454312,7270
6455412,6825
6456912,5417
6458012,6241
6565012,2885
6566612,4212
6567812,5840
6568912,7706
6570112,7105
6571612,3158
6572712,4080
6573812,8336
6574912,8376
6576412,10241
6577512,10379
6578612,9753
6579712,9247
6649913,8377
6651413,8138
6652618,7403
6653813,7782
6655012,6181
6656612,6645
6657812,6369
6659012,5935
6660212,4899
6661812,5367
6663012,6352
6664212,4343
6665412,4916
6666912,4773
6668112,4634
6669312,4453
6670571,6935
6672112,5437
6673312,5402
6674512,7192
6676112,4993
6677312,6080
6678512,5486
6679712,5201
6681212,7273
6682412,6531
6683612,7365
6684871,6790
6686412,7530
6687612,8343
6688812,7294
6690012,7516
6691512,6628
6692712,6712
6693912,5677
6695112,5817
6696612,7099
6697812,6566
6699012,5889
6700272,6478
6701812,5242
6703012,4249
6704212,2906
6705412,4501
6706912,5472
6708112,4054
6709312,4539
6710512,5123
6712012,5932
6713212,6268
6714412,7227
6799212,4645
6800812,4376
6802320,5348
6803512,6636
6804612,6038
6806212,6065
6807312,6492
6808412,6642
6809512,5801
6811012,5823
6812112,5402
6813212,5304
6814312,5420
6815412,7028
6816912,7472
6818012,7494
6819112,6255
6820212,5995
6891311,4863
6892911,6975
6894111,6287
6895211,8506
6896711,7928
6897811,7079
6898911,7028
6900011,6314
6901511,4192
6902611,3985
6903711,3486
6904811,3347
6906311,5103
6907411,3699
6908511,4944
6909611,5408
6911211,6088
6912311,6296
6913411,7530
6914511,7003
6916011,7370
6917111,6399
6918211,6587
6919311,6876
6920411,6831
6921911,6299
6923011,7154
6924111,5688
6925211,8106
6935012,4804
6936612,6038
6937813,6037
6938912,6146
