timestamp_us,ax,ay,az,gx,gy,gz
7915512,884,-140,-13548,143,286,205
7921412,860,-440,-13688,151,233,183
7926212,664,-400,-13600,135,157,163
7931012,580,-400,-13584,148,248,169
7935912,776,-284,-13396,65,331,160
7940712,752,-248,-13288,85,447,112
7945512,1000,-352,-13344,40,479,103
7951412,720,-228,-13768,72,428,79
7956212,864,-80,-13588,82,343,101
7961012,652,-48,-13732,42,248,103
7965812,1028,-80,-13392,68,252,83
7970612,700,12,-13196,102,281,117
8041912,860,-128,-13768,88,266,100
8045812,984,20,-13144,133,338,91
8050612,892,64,-13408,57,303,85
8055412,980,-28,-13452,147,383,83
8139711,788,-80,-13684,96,310,91
8141311,788,-80,-13684,96,310,91
8146311,936,-152,-13688,142,305,101
8151111,836,-108,-13512,131,300,104
8155911,692,-328,-13744,108,255,90
8160711,700,-272,-13516,119,310,118
8165511,716,-296,-13584,71,290,99
8170411,864,-208,-13232,130,426,87
8176311,832,-260,-13436,47,362,100
8181111,832,-184,-13652,73,414,95
8185911,848,-96,-13808,65,353,106
8190711,952,-12,-13620,100,324,105
8195511,944,-28,-13132,99,303,109
8201411,936,-96,-13504,111,271,124
8206211,856,28,-13492,131,369,90
8211111,852,-28,-13572,88,317,109
8280812,804,-24,-13424,99,345,89
8367512,852,-56,-13640,101,327,98
8388310,664,-216,-13696,137,322,93
8391010,760,-192,-13500,94,379,107
8395810,748,-192,-13584,104,381,61
8400712,1012,-144,-13268,95,377,116
8405512,816,-20,-13708,87,351,107
8411412,856,-88,-13488,121,338,105
8435412,840,-112,-13616,132,347,117
8440512,880,-200,-13772,100,297,101
8446412,880,-192,-13472,102,297,102
8451312,768,-220,-13348,140,276,83
8456112,728,-164,-13556,124,302,86
8460912,688,-280,-13684,101,329,94
8465712,780,-264,-13708,86,386,73
8470512,896,-164,-13492,93,385,95
8476412,672,-136,-13548,116,355,111
8481212,776,-60,-13384,82,322,85
8565611,844,44,-13676,108,325,86
8570711,904,-68,-13328,92,366,96
8641010,848,-32,-13640,86,298,105
8645810,860,-80,-13460,97,314,95
8650712,832,-128,-13372,110,382,96
8655512,936,-112,-13520,96,343,97
8661412,852,-192,-13748,122,362,95
8666212,748,-96,-13616,115,283,97
8671012,884,-208,-13592,117,257,101
8675812,756,-228,-13416,113,294,100
8680612,564,-204,-13576,104,313,108
8685412,760,-300,-13488,99,355,98
8691412,732,-180,-13684,86,358,91
8696212,860,-256,-13588,102,374,115
8701012,916,-136,-13536,76,330,89
8705812,848,-136,-13612,90,331,95
8710612,880,-128,-13628,92,335,115
8793911,880,-128,-13628,92,335,115
8795577,924,88,-13252,116,372,88
8800511,960,-92,-13352,116,354,108
8806411,836,-104,-13684,103,339,113
8811311,888,-164,-13796,104,305,94
8881810,824,-100,-13824,82,336,90
8905911,624,-216,-13548,94,369,102
8910811,908,-312,-13788,101,369,97
8915711,764,-112,-13576,88,355,91
8920511,784,-84,-13404,99,346,98
8926411,860,-84,-13428,85,310,106
8931211,832,-60,-13508,96,322,109
8936011,784,-160,-13688,58,328,102
8940811,832,-104,-13592,101,331,118
8945711,868,-40,-13344,123,350,113
8950511,928,-48,-13364,110,364,66
8956411,844,-192,-13656,107,330,113
8961211,824,-236,-13916,113,289,113
9045612,796,-176,-13392,116,305,82
9050612,792,-160,-13336,118,353,102
9055512,900,-196,-13516,104,389,97
9061412,860,-144,-13812,73,381,104
9066212,780,-208,-13620,92,347,110
9071012,908,-92,-13468,100,305,120
9075812,892,-20,-13188,114,324,101
9146310,948,-32,-13348,108,307,94
9151110,900,-48,-13316,103,336,95
9156012,816,-16,-13372,105,323,75
9160812,856,-124,-13792,113,328,77
9165612,924,36,-13528,123,331,105
9170412,904,48,-13296,111,322,110
9176312,928,-48,-13128,104,321,70
9181112,876,-184,-13692,126,340,79
9185912,740,-192,-13708,114,292,91
9190712,700,-156,-13376,117,324,103
9274016,700,-156,-13376,117,324,103
9275669,860,-192,-13244,108,351,77
9280511,804,-136,-13680,90,385,100
9286411,780,-140,-13872,118,348,82
9291211,760,-172,-13780,78,298,87
9296011,908,-28,-13328,80,267,90
9300811,956,-152,-13308,95,334,87
9305711,872,44,-13368,89,371,87
9310511,748,-48,-13988,125,333,98
9316411,788,-108,-13732,100,315,128
9386312,756,-176,-13956,69,339,72
9407012,880,-132,-13492,96,333,87
9410712,720,-112,-13864,105,308,86
9415512,764,-152,-13620,97,292,119
9436212,704,-132,-13936,118,351,99
9441212,816,-136,-13796,98,321,122
9446012,888,-108,-13396,86,298,106
9450912,868,-28,-13364,131,342,76
9455712,856,-96,-13516,91,364,77
9541211,788,-176,-13868,96,332,110
9546211,860,-172,-13368,86,325,108
9551111,840,-156,-13228,90,316,105
9555911,784,-80,-13380,100,360,79
9560711,744,-220,-13764,117,329,89
9565511,816,-16,-13832,109,323,83
9571411,896,-144,-13372,99,309,103
9576211,956,-112,-13376,96,342,100
9581111,840,-136,-13516,102,341,68
9585911,792,-144,-13916,95,320,111
9590711,720,-124,-13768,67,309,91
9661012,796,-116,-13856,91,328,96
9666012,804,-168,-13788,97,329,126
9670812,868,-148,-13512,100,321,116
9675612,916,-140,-13200,104,331,82
9680412,808,-72,-13620,91,356,118
9686312,840,-232,-13772,98,327,89
9770612,940,-36,-13496,116,333,95
9775512,932,-88,-13256,100,355,101
9780412,840,-136,-13644,93,338,96
9786312,752,-260,-13888,108,328,86
9791112,828,-80,-13896,123,332,106
9795912,856,-176,-13268,87,330,94
9800712,976,-148,-13240,89,338,103
9805512,920,-140,-13344,86,379,106
9811412,728,-176,-13712,93,338,94
9816212,804,-108,-13624,72,329,77
9821112,832,-168,-13384,93,333,109
9825912,916,-136,-13296,108,336,102
9846710,796,-44,-13428,116,318,122
9850510,912,-164,-13272,100,354,107
9921012,892,-132,-13480,95,315,105
9926012,904,-132,-13336,95,336,89
9930812,840,-128,-13428,92,349,96
9935612,804,8,-13416,105,328,95
10024310,804,8,-13416,105,328,95
10025912,912,-188,-13104,106,364,85
10030812,832,-112,-13648,94,367,97
10035612,860,-92,-13944,114,371,91
10040512,816,-152,-13700,98,336,85
10046412,872,-24,-13468,67,309,91
10051212,844,-84,-13136,132,340,88
10056012,768,-168,-13376,106,357,89
10060812,800,-240,-13688,94,325,94
10065612,808,-80,-13684,77,321,95
10070412,864,-96,-13280,69,316,99
10076312,896,-136,-13260,109,352,75
10081212,736,-80,-13628,99,354,84
10086012,636,-120,-13656,92,340,96
10090812,808,-20,-13700,90,325,108
10095612,708,-116,-13392,108,348,129
10166110,808,-228,-13724,98,297,103
10259512,916,-96,-13464,110,356,89
10261112,764,-44,-13816,92,327,109
10266012,812,-132,-13644,72,302,81
10270812,904,-184,-13556,78,312,122
10275612,900,-40,-13392,107,331,108
10280412,776,-144,-13464,86,360,91
10286312,828,-132,-13724,115,359,107
10291112,684,-148,-13864,85,320,78
10296012,836,-164,-13520,112,341,76
10300812,896,-128,-13392,109,321,98
10305612,840,-164,-13500,98,315,77
10310412,800,-176,-13676,94,352,121
10316312,804,-200,-13644,114,334,105
10321112,844,-184,-13540,103,319,100
10325912,904,-96,-13328,81,323,79
10336912,860,-48,-13780,129,317,92
10340712,760,-152,-13672,106,327,99
10345512,956,-156,-13348,88,344,87
10459010,876,-148,-13560,108,334,100
10536610,836,-148,-13568,104,331,95
10541512,824,-148,-13588,69,351,112
10546312,840,-128,-13440,117,371,91
10551112,860,-228,-13620,73,327,91
10556012,816,-56,-13460,95,319,84
10560812,848,-224,-13520,98,345,94
10565612,896,-80,-13640,128,309,96
10570412,832,-80,-13456,100,340,104
10576312,776,-128,-13548,133,337,110
10581112,900,-112,-13492,94,350,114
10585912,788,-180,-13772,122,301,102
10590712,812,-280,-13612,111,338,81
10595612,932,-180,-13700,90,277,104
10600412,820,-100,-13372,104,325,89
10606312,764,-104,-13668,85,353,100
10611112,896,-152,-13480,99,349,114
10701012,792,-164,-13620,109,332,95
10705912,764,-56,-13872,83,291,103
10710712,780,-100,-13584,112,303,108
10715612,804,-112,-13444,95,339,104
10788111,772,-28,-13620,109,327,92
10790911,860,-128,-13440,88,357,103
10795711,956,-176,-13564,105,382,97
10800511,864,-136,-13552,106,342,103
10806411,804,-64,-13720,84,349,81
10811211,764,-172,-13616,105,309,71
10816011,788,-188,-13436,85,312,121
10820811,772,-144,-13364,94,314,88
10825711,884,-164,-13680,102,356,92
10835712,784,-156,-13644,67,349,99
10840612,900,-120,-13472,112,345,106
10845412,764,-176,-13488,101,332,97
10851312,732,-156,-13512,116,330,81
10856112,816,-184,-13556,106,325,94
10947210,796,-224,-13352,98,334,101
10950910,928,-88,-13632,94,343,83
10955712,812,-148,-13692,92,332,106
10960512,804,-132,-13660,102,315,109
10966412,816,-116,-13364,110,298,119
10971312,864,-100,-13352,100,323,103
11044010,1000,-64,-13488,90,319,109
11045610,856,-92,-13216,103,349,105
11050412,832,-192,-13400,97,357,86
11056312,816,-100,-13784,97,349,120
11061112,828,-60,-13756,93,319,110
11065912,836,-76,-13528,98,325,86
11070712,824,-192,-13320,126,335,93
11075512,824,-168,-13620,110,337,108
11080412,764,-124,-13736,108,355,121
11086312,684,-212,-13544,108,305,102
11091112,812,-132,-13580,103,351,94
11184410,720,-196,-13808,113,311,84
11185912,800,-100,-13616,121,320,98
11190812,840,-144,-13244,87,325,94
11195712,836,-52,-13576,92,356,78
11200512,812,-148,-13556,80,358,74
11206412,812,-52,-13716,117,343,114
11211212,812,-108,-13668,100,331,102
11216012,756,-184,-13344,89,319,110
11220812,840,4,-13480,92,328,103
11293010,848,-164,-13348,135,330,97
11295610,796,-108,-13496,113,325,95
11300412,756,-180,-13732,87,318,103
11306312,736,-32,-13744,98,325,94
11311112,772,-184,-13488,91,337,86
11315912,852,-316,-13560,92,348,92
11320712,828,-80,-13376,85,331,85
11325512,800,-48,-13664,101,318,87
11339111,888,-136,-13564,94,335,85
11340611,932,-100,-13612,117,329,95
11434210,900,-212,-13708,96,343,108
11458210,656,-160,-13720,107,326,113
11460910,780,-200,-13692,73,307,84
11465812,888,-96,-13480,126,308,91
11470612,936,-204,-13416,93,330,102
11475412,856,-152,-13644,97,324,95
11481312,812,-76,-13720,92,347,94
11486112,820,-144,-13672,95,335,101
11490912,952,-148,-13284,89,332,93
11495812,892,-92,-13392,91,360,88
11567211,940,-100,-13448,97,336,110
11571111,908,-84,-13532,139,338,101
11575911,896,-108,-13564,104,333,109
11580711,776,-184,-13772,74,338,84
11585511,728,-156,-13520,84,314,79
11590411,808,-156,-13432,100,322,88
11596311,888,-76,-13224,83,320,83
11601111,824,-148,-13536,105,361,81
11693310,748,-228,-13684,78,295,83
11695912,816,-204,-13408,89,333,93
11700712,828,-120,-13512,122,351,85
11705512,908,-88,-13620,83,347,90
11710412,760,-148,-13788,85,371,80
11716312,844,-56,-13468,88,346,121
11721112,780,-68,-13428,114,324,103
11725912,920,-84,-13560,117,323,90
11730712,776,-84,-13904,98,305,83
11735512,696,-116,-13632,110,331,117
11741412,856,-80,-13516,98,325,109
11746212,848,-192,-13408,82,348,106
11818011,880,-64,-13436,76,318,115
11820711,880,-112,-13548,112,347,81
11825511,788,-192,-13592,124,334,99
11835412,780,-152,-13712,89,311,117
11841312,816,-80,-13360,70,338,106
11846112,796,-96,-13420,101,324,83
11938410,736,-216,-13660,85,326,103
11941210,748,-80,-13524,103,307,122
11946112,852,-48,-13356,83,353,99
11950912,860,-80,-13636,98,336,97
11955712,812,-160,-13696,109,327,80
11960512,788,-192,-13624,129,343,114
11966412,892,-124,-13408,84,315,90
11971212,868,-144,-13372,108,346,81
11976012,792,-128,-13572,70,341,110
11980812,836,-120,-13724,113,348,105
11985712,792,-104,-13600,76,327,92
11990512,844,-140,-13300,90,340,120
11996412,916,-144,-13544,73,355,83
12001212,692,-32,-13500,101,335,98
12073110,700,-124,-13200,116,338,102
12075712,860,-44,-13472,101,366,111
12080512,932,-68,-13748,128,334,100
12175012,756,-64,-13352,89,363,120
12176612,800,-184,-13540,87,321,101
12181412,836,-144,-13864,107,364,96
12186212,800,-116,-13680,122,338,96
12191012,772,-104,-13372,110,332,98
12195812,828,-76,-13456,87,337,88
12200612,824,-144,-13460,116,346,97
12205412,824,-144,-13460,116,346,97
12211412,880,-72,-13520,85,322,92
12216212,856,-64,-13524,81,341,111
12221012,956,-80,-13416,107,347,95
12225812,824,-100,-13660,98,322,90
12230612,792,-80,-13636,104,318,86
12235412,792,-80,-13636,104,318,86
12241312,860,-172,-13416,109,314,101
12246112,824,-128,-13492,95,323,104
12251012,792,-96,-13724,104,339,128
12416410,824,-108,-13592,109,320,103
12428710,800,-96,-13612,108,348,99
12431310,808,-124,-13668,115,342,88
12454312,820,-160,-13644,85,316,97
12455821,696,-180,-13844,62,312,99
12460712,868,-112,-13592,121,313,115
12465612,868,-112,-13592,121,313,115
12470412,844,-152,-13492,105,322,89
12476312,956,-156,-13692,105,350,74
12481112,840,-220,-13716,84,336,106
12485912,904,-64,-13564,93,315,92
12490712,844,-156,-13220,103,313,81
12495612,844,-156,-13220,103,313,81
12500412,832,-96,-13516,93,355,110
12506312,832,-112,-13708,90,326,93
12511112,892,-196,-13580,97,328,107
12515912,868,-72,-13348,106,290,89
12520712,952,-120,-13604,105,319,97
12612810,884,-100,-13540,99,339,86
12615412,884,-100,-13540,99,339,86
12688512,808,-220,-13472,96,319,99
12691112,952,-160,-13424,97,345,115
12696012,804,-156,-13556,93,345,103
12700812,832,-188,-13688,101,352,102
12705612,832,-188,-13688,101,352,102
12710412,748,-148,-13732,100,316,91
12716312,852,-148,-13420,126,335,108
12721112,856,-84,-13360,98,351,120
12725912,836,-176,-13784,106,359,106
12730712,880,-120,-13916,91,352,100
12735612,880,-120,-13916,91,352,100
12740412,920,-160,-13664,109,346,103
12746312,792,-76,-13524,103,339,104
12751112,776,-144,-13600,118,318,83
12755912,748,-252,-13684,108,321,90
12760712,856,-116,-13520,124,353,106
12850612,856,-116,-13520,124,353,106
12867711,768,-128,-13284,80,338,126
12871411,820,-36,-13420,81,362,98
12876311,812,-116,-13692,122,375,94
12949310,884,-124,-13600,96,363,71
12950810,884,-124,-13600,96,363,71
12955712,788,-192,-13776,106,365,114
12960512,824,-212,-13844,118,338,82
12966412,864,-92,-13280,119,305,96
12971312,832,-144,-13424,95,336,141
12976112,900,-136,-13684,83,334,83
12980912,772,-188,-13768,100,354,82
12985712,772,-188,-13768,100,354,82
12990512,908,-128,-13600,79,339,123
12996412,832,-152,-13504,98,324,112
13001212,724,-160,-13544,99,325,86
13006012,844,-108,-13772,100,298,99
13010912,800,-84,-13516,112,306,108
13103211,780,-164,-13724,116,337,110
13105911,792,-56,-13812,111,301,111
13110811,792,-56,-13812,111,301,111
13115611,756,-180,-13548,138,293,108
13120411,840,-120,-13328,102,306,122
13126311,784,-164,-13524,106,360,83
13199012,764,-64,-13388,86,341,101
13200612,764,-64,-13388,86,341,101
13205412,804,-184,-13672,94,359,88
13211312,872,-200,-13380,104,339,102
13216112,896,-100,-13404,86,342,106
13220912,896,-100,-13404,86,342,106
13225712,748,-84,-13560,94,331,126
13230512,792,-144,-13660,111,305,103
13235412,764,-32,-13692,115,340,89
13241312,956,-180,-13568,85,356,82
13246112,844,-184,-13332,97,365,77
13250912,840,-68,-13544,106,289,104
13340812,840,-68,-13544,106,289,104
13357812,836,-204,-13652,92,346,120
13360412,836,-204,-13652,92,346,120
13366312,976,-96,-13324,99,331,95
13371112,792,-140,-13572,96,330,114
13375912,792,-140,-13572,96,330,114
13380712,772,-160,-13656,120,347,106
13385512,732,-96,-13728,90,328,104
