timestamp_ms,ir_ambient_c,ir_object_c,sound_peak,sound_volts,ax,ay,az,gx,gy,gz,mx,my,mz
6770,26.73,26.29,665,0.134,776,-12,-13564,102,328,71,0,0,0
6775,26.73,26.29,2048,0.413,896,36,-13496,93,331,99,0,0,0
6780,26.73,26.29,2359,0.475,804,-40,-13348,88,342,96,0,0,0
6785,26.73,26.29,805,0.162,884,12,-13560,107,369,82,0,0,0
6791,26.73,26.29,1134,0.228,860,-84,-13716,108,340,50,0,0,0
6796,26.73,26.29,1416,0.285,928,-160,-13704,114,316,96,0,0,0
6801,26.73,26.29,974,0.196,856,-56,-13556,112,287,116,0,0,0
6805,26.73,26.29,1013,0.204,784,-296,-13792,143,277,123,0,0,0
6810,26.73,26.29,633,0.128,792,-204,-13628,115,295,85,0,0,0
6815,26.73,26.29,2294,0.462,792,-176,-13668,85,336,109,0,0,0
6821,26.73,26.29,2455,0.495,812,-232,-13612,106,326,95,0,0,0
6826,26.73,26.29,1869,0.376,784,-264,-13532,95,395,99,0,0,0
6843,26.73,26.29,1573,0.317,684,-96,-13828,78,336,108,0,0,0
6845,26.73,26.29,1110,0.224,772,4,-13568,103,305,86,0,0,0
6850,26.73,26.29,2183,0.44,852,-16,-13436,82,321,114,0,0,0
6856,26.73,26.29,3146,0.634,884,48,-13468,129,349,114,0,0,0
6943,26.73,26.29,1515,0.305,880,-32,-13592,117,335,118,0,0,0
6945,26.73,26.29,2203,0.444,936,-160,-13528,108,321,104,0,0,0
6950,26.73,26.29,3728,0.751,796,-144,-13544,111,277,106,0,0,0
7020,26.73,26.29,304,0.061,812,-152,-13696,122,301,104,0,0,0
7025,26.73,26.29,2337,0.471,836,-108,-13620,120,253,107,0,0,0
7031,26.73,26.29,2255,0.454,848,-160,-13464,108,314,120,0,0,0
7036,26.73,26.29,3417,0.688,732,-236,-13504,104,301,83,0,0,0
7041,26.73,26.29,3514,0.708,648,-176,-13580,101,349,100,0,0,0
7045,26.73,26.29,3048,0.614,600,-220,-13624,99,355,107,0,0,0
7050,26.73,26.29,3665,0.738,796,-124,-13424,96,394,88,0,0,0
7055,26.73,26.29,3603,0.726,868,-84,-13548,65,372,99,0,0,0
7061,26.73,26.29,3759,0.757,912,-240,-13468,85,348,94,0,0,0
7066,26.73,26.29,2563,0.516,756,-84,-13696,89,334,114,0,0,0
7071,26.73,26.29,2498,0.503,880,-28,-13604,102,299,94,0,0,0
7075,26.73,26.29,1325,0.267,920,36,-13532,76,310,99,0,0,0
7080,26.73,26.29,2522,0.508,896,-56,-13364,105,325,86,0,0,0
7085,26.73,26.29,2831,0.57,924,-40,-13336,109,362,85,0,0,0
7170,26.73,26.21,2287,0.461,848,-72,-13736,109,304,103,0,0,0
7175,26.73,26.21,2151,0.433,796,-180,-13584,111,294,106,0,0,0
7180,26.73,26.21,2176,0.438,800,-160,-13540,115,312,114,0,0,0
7185,26.73,26.21,5145,1.036,752,-280,-13524,115,341,82,0,0,0
7190,26.73,26.21,3009,0.606,680,-268,-13476,93,342,92,0,0,0
7196,26.73,26.21,3300,0.665,672,-216,-13552,103,349,83,0,0,0
7266,26.73,26.21,570,0.115,752,-200,-13660,89,341,98,0,0,0
7270,26.73,26.21,2257,0.455,796,-252,-13604,86,314,88,0,0,0
7275,26.73,26.21,2275,0.458,792,-188,-13428,99,343,125,0,0,0
7280,26.73,26.21,1442,0.29,896,-144,-13596,118,346,93,0,0,0
7286,26.73,26.21,1621,0.327,872,-188,-13700,90,322,96,0,0,0
7291,26.73,26.21,1865,0.376,760,-84,-13712,84,341,76,0,0,0
7295,26.73,26.21,1191,0.24,744,-12,-13508,103,340,83,0,0,0
7300,26.73,26.21,2485,0.501,884,-84,-13388,108,357,94,0,0,0
7305,26.73,26.21,1196,0.241,900,-112,-13424,104,359,106,0,0,0
7311,26.73,26.21,2104,0.424,868,-16,-13640,116,358,121,0,0,0
7316,26.73,26.21,1160,0.234,840,-100,-13616,110,280,92,0,0,0
7399,26.73,26.21,106,0.021,884,-60,-13352,109,287,90,0,0,0
7411,26.73,26.21,863,0.174,780,-216,-13540,101,323,110,0,0,0
7435,26.73,26.21,2530,0.51,808,-144,-13576,107,354,90,0,0,0
