timestamp_us,audio_adc
5567719,5991
5569319,4606
5570510,4741
5572112,4878
5573212,5334
5574312,6169
5575412,8234
5576912,7106
5578012,6752
5579112,8245
5580212,6352
5581312,7316
5582812,5420
5583912,5321
5585012,5092
5586112,6307
5587612,5431
5588712,5343
5589812,7452
5590912,5101
5592412,5501
5593512,6596
5594612,5952
5595712,6467
5597212,6570
5598312,7229
5599412,6425
5600512,5247
5602012,5179
5603112,5875
5604212,4661
5605312,6807
5606412,7394
5607912,6054
5609012,6195
5610112,6006
5611212,5836
5683310,6390
5684810,6702
5685910,7192
5687412,7761
5688512,6982
5689612,6020
5690712,5672
5692212,6117
5693312,4587
5694412,5877
5695512,5414
5697012,5068
5698112,6564
5699212,6874
5700312,5385
5701412,5285
5703012,5798
5704112,5885
5705212,6805
5706312,6437
5707812,7551
5708912,7527
5710012,7512
5711112,6595
5712612,6249
5713712,6208
5714812,5288
5797511,7746
5799011,6992
5800111,5470
5801311,6281
5802911,5039
5804011,5088
5805111,5555
5806211,6436
5807711,5156
5808811,5206
5809911,7506
5811011,5974
5812511,5722
5813611,5510
5814711,9152
5815811,4124
5817311,7270
5818411,7043
5819511,7622
5820611,5298
5822111,6321
5823211,7458
5824311,3606
5825411,4869
5835312,6390
5836812,6613
5838312,5067
5839512,6787
5840612,6566
5842112,7295
5843212,5573
5844312,6978
5845412,6088
5847012,5203
5848112,4781
5849212,4914
5850312,5280
5851412,4542
5852912,4159
5854012,4276
5855112,4458
5856212,7264
5925612,4477
5927112,5535
5928212,5436
5929412,3997
5930512,5379
5932112,3561
5933212,6868
5934312,5221
5935412,5883
5936912,7493
5938012,7999
5939112,6708
5940212,6878
5941312,5299
5942812,4800
5943912,6717
5945012,7142
5946112,5841
5947612,6354
5948712,7019
5949812,6031
5950912,5952
6033912,7213
6035412,6410
6036921,7186
6038112,6720
6039212,5919
6040312,6767
6041412,5625
6043012,5494
6044112,4221
6045212,5683
6046312,5011
6047812,5409
6048912,5659
6050012,6018
6051112,4723
6052612,6803
6053712,7061
6054812,6294
6055912,8304
6057412,7724
6058512,7948
6059612,6607
6060712,5684
6062212,5373
6063312,5058
6064412,6069
6065512,5412
6067012,5284
6068112,5158
6069212,4254
6070312,3963
6071412,5094
6073012,6274
6074112,5979
6075212,7467
6076312,6814
6077812,7517
6078912,7191
6080012,5661
6081112,6391
6082612,5412
6083712,5315
6084812,5793
6085912,6382
6087412,6342
6088512,5371
6089612,5978
6090712,5616
6092212,6053
6093312,5356
6094412,5741
6095512,6514
6164712,5848
6166312,6429
6167812,6520
6168912,6269
6170012,4936
6171112,6374
6172612,5387
6173712,5455
6174812,5438
6175912,5921
6177412,5770
6178512,6307
6261211,5461
6262711,5506
6263811,5999
6265011,6446
6266111,6512
6267611,6677
6268711,6204
6269811,5432
6270911,5890
6272411,7133
6273511,5544
6274611,6589
6275711,6721
6277211,6214
6278311,6497
6279411,5334
6280511,6216
6282011,5794
6283111,7373
6284211,6785
6285311,7210
6286411,6581
