timestamp_ms,object_temp_c,ambient_temp_c
79510,26.41,26.07
79926,26.49,26.07
80444,26.47,26.05
80933,26.65,26.05
81452,26.61,26.07
81955,26.73,26.05
82499,26.77,26.11
82929,26.61,26.11
83437,26.53,26.07
83926,26.55,26.11
84434,26.47,26.11
84949,26.43,26.07
85478,26.53,26.07
85993,26.43,26.07
86518,26.43,26.11
87004,26.49,26.11
87437,26.43,26.11
87951,26.41,26.07
88469,26.47,26.07
88954,26.43,26.07
89481,26.55,26.11
89987,26.55,26.13
90437,26.47,26.13
90926,26.41,26.13
91436,26.47,26.15
91934,26.43,26.11
92464,26.49,26.11
92983,26.37,26.13
93605,26.55,26.15
93926,26.53,26.15
94514,26.59,26.17
94937,26.53,26.15
95429,26.55,26.15
95961,26.53,26.13
96468,26.47,26.13
96988,26.55,26.15
97492,26.55,26.17
98015,26.47,26.15
98438,26.53,26.15
98949,26.35,26.15
99441,26.29,26.15
99965,26.41,26.13
100492,26.41,26.15
100926,26.47,26.17
101442,26.55,26.17
101969,26.47,26.15
102492,26.41,26.15
102937,26.43,26.17
103459,26.47,26.15
103989,26.47,26.15
104426,26.53,26.15
104931,26.59,26.17
105463,26.59,26.15
105990,26.55,26.17
106426,26.61,26.15
106934,26.65,26.17
107471,26.71,26.17
108007,26.65,26.17
108457,26.65,26.21
108975,26.59,26.19
109506,26.65,26.19
110016,26.65,26.19
110477,26.59,26.19
110979,26.53,26.19
111505,26.53,26.21
112017,26.53,26.19
112491,26.61,26.21
112993,26.61,26.23
113522,26.67,26.21
113954,26.65,26.23
114484,26.67,26.25
115002,26.73,26.25
115425,26.71,26.21
116026,26.77,26.21
116489,26.77,26.23
116995,26.71,26.25
117429,26.77,26.23
117932,26.79,26.23
118481,26.71,26.23
118990,26.67,26.23
119523,26.61,26.29
119929,26.71,26.27
120562,26.67,26.25
120992,26.59,26.25
121535,26.65,26.25
121932,26.59,26.25
122498,26.65,26.27
123017,26.67,26.25
123429,26.61,26.27
123942,26.61,26.25
124511,26.61,26.23
125021,26.67,26.27
125425,26.73,26.27
125945,26.67,26.29
126503,26.65,26.27
127010,26.61,26.27
127426,26.59,26.25
127936,26.59,26.27
128496,26.65,26.33
129002,26.61,26.27
129537,26.79,26.33
129937,26.79,26.29
130480,26.71,26.33
131004,26.71,26.27
131518,26.61,26.29
131944,26.67,26.35
132484,26.71,26.29
133022,26.71,26.29
133521,26.59,26.33
133947,26.59,26.29
134488,26.59,26.33
135011,26.83,26.35
135514,26.77,26.29
135951,26.77,26.33
136486,26.83,26.37
137025,26.79,26.33
137429,26.77,26.35
137963,26.71,26.35
138491,26.73,26.35
139029,26.77,26.39
139440,26.77,26.37
139964,26.73,26.35
140511,26.71,26.37
140926,26.79,26.37
141426,26.71,26.39
141962,26.73,26.35
142506,26.67,26.37
