timestamp_ms,object_temp_c,ambient_temp_c
5978,26.11,25.77
6463,26.17,25.75
6979,26.23,25.77
7472,26.21,25.73
8006,26.17,25.73
8426,26.17,25.77
8933,26.09,25.75
9493,26.17,25.77
9994,26.11,25.77
10488,26.15,25.81
11002,26.23,25.77
11426,26.11,25.77
11927,26.17,25.75
12433,26.11,25.77
12934,26.09,25.79
13430,26.05,25.77
13977,26.03,25.79
14493,26.03,25.81
14930,26.05,25.77
15425,26.05,25.79
15926,26.09,25.77
16436,26.09,25.81
16970,26.09,25.79
17487,26.17,25.77
18006,26.23,25.77
18492,26.29,25.77
19007,26.23,25.79
19441,26.27,25.77
19960,26.27,25.77
20456,26.31,25.77
20979,26.29,25.79
21489,26.29,25.77
22003,26.17,25.79
22433,26.21,25.77
22926,26.27,25.77
23447,26.27,25.79
23964,26.29,25.77
24503,26.29,25.77
24926,26.17,25.77
25447,26.17,25.81
25940,26.27,25.81
26480,26.21,25.79
26997,26.27,25.77
27440,26.31,25.83
27937,26.31,25.79
28448,26.23,25.79
28956,26.35,25.83
29501,26.29,25.83
30025,26.31,25.81
30426,26.29,25.85
30926,26.43,25.83
31433,26.37,25.81
32032,26.35,25.83
32471,26.31,25.83
32962,26.29,25.83
33488,26.31,25.81
33995,26.35,25.83
34499,26.35,25.83
34938,26.31,25.83
35426,26.37,25.89
35938,26.35,25.83
36449,26.35,25.83
36984,26.37,25.85
37496,26.47,25.83
37944,26.37,25.83
38429,26.49,25.83
38933,26.41,25.85
39441,26.43,25.89
39975,26.53,25.85
40487,26.49,25.85
41000,26.55,25.89
41505,26.43,25.85
42015,26.41,25.89
42435,26.43,25.89
42950,26.41,25.85
43438,26.41,25.91
43973,26.41,25.89
44470,26.49,25.89
44999,26.53,25.91
45426,26.53,25.91
45933,26.43,25.89
46430,26.41,25.93
46946,26.41,25.91
47454,26.37,25.91
47999,26.41,25.91
48426,26.41,25.91
49041,26.37,25.95
49425,26.37,25.91
49933,26.47,25.95
50430,26.35,25.93
51035,26.37,25.93
51481,26.43,25.93
51967,26.41,25.93
52483,26.41,25.97
52979,26.41,25.95
53429,26.35,25.93
53933,26.43,25.93
54426,26.55,25.97
54933,26.43,25.97
55456,26.37,25.95
55977,26.29,25.95
56426,26.35,25.97
56926,26.35,25.97
57430,26.37,25.95
57936,26.59,25.95
58452,26.61,25.95
59062,26.59,25.97
59514,26.43,25.95
60004,26.37,25.97
60517,26.43,25.97
61005,26.43,25.99
61446,26.43,25.99
61948,26.47,25.95
62467,26.31,25.99
62966,26.41,25.99
63527,26.43,26.01
63926,26.43,26.03
64425,26.35,25.99
64930,26.29,25.99
65450,26.47,25.99
65981,26.67,25.99
66499,26.59,25.99
66926,26.37,26.01
67425,26.43,26.03
67926,26.61,26.01
68426,26.55,26.03
69037,26.49,26.01
69451,26.41,26.03
69979,26.49,26.01
70468,26.59,26.05
70981,26.53,25.99
71502,26.47,26.03
71926,26.47,26.01
72433,26.53,26.03
72926,26.49,26.01
73443,26.37,26.01
73977,26.43,26.05
74480,26.65,26.03
74926,26.73,26.03
75440,26.59,26.05
75926,26.37,26.05
76429,26.53,26.03
76950,26.49,26.01
77463,26.47,26.05
78004,26.37,26.05
78498,26.37,26.07
79007,26.41,26.07
