timestamp_us,ax,ay,az,gx,gy,gz
5324710,1172,-2220,-14308,836,830,8367
5329810,1220,-1884,-6464,-737,2514,8715
5334610,976,680,-14612,-1305,1064,8787
5339410,496,68,-13568,-698,-55,8830
5345312,1052,256,-18284,558,702,8784
5350112,2468,-1492,-12228,35,-141,8710
5354912,1628,-1100,-13224,-552,95,8750
5359812,508,-644,-11852,-1184,-200,8615
5364612,844,-332,-14096,-167,488,8431
5452119,1044,-68,-13536,63,380,3915
5485218,976,-452,-13116,325,201,3487
5490212,992,-908,-12896,182,544,3587
5495012,752,-708,-13556,88,737,3695
5499812,1204,-772,-13092,-88,899,3761
5504612,1252,-196,-13920,-765,798,3859
5509412,1236,-928,-14144,-1021,606,4050
5515312,1416,-772,-14508,-1161,120,4252
5520212,1424,-992,-13700,-1235,-139,4403
5525012,380,-1020,-13164,-16,-522,4478
5548812,1160,-1008,-14476,-502,-111,4706
5630410,1052,-88,-13652,-10,248,3826
5635310,1112,-404,-13220,-84,327,3740
5640112,1032,-356,-13336,-120,319,3674
5644912,888,-196,-13696,26,358,3602
5649712,1208,-344,-13500,35,333,3549
5654612,1312,-400,-13400,174,386,3437
5659412,1112,-188,-13564,60,323,2344
5742912,980,-300,-13352,-26,350,2293
5744410,980,-300,-13352,-26,350,2293
5749412,1012,-220,-13296,12,388,2185
5755312,1224,-496,-13544,561,331,2045
5760112,1140,-912,-13716,-182,246,1996
5764912,1076,148,-13712,-309,362,1984
5769712,972,-300,-13944,115,403,1869
5774612,1000,-480,-12740,48,342,1849
5779412,1064,-448,-13392,-9,331,1808
5785312,936,-272,-13636,-35,357,1731
5790112,1192,-228,-14008,135,375,1672
5794912,1208,-348,-13340,67,299,1598
5799712,1132,-372,-13604,32,290,1516
5874910,1208,-252,-13460,129,355,458
5879810,1044,-388,-13628,65,303,371
5884612,1160,-240,-13564,117,340,297
5889412,908,-276,-13456,92,349,234
5977410,1056,-444,-13504,107,298,98
5989612,1188,-304,-13388,112,396,109
5994412,1156,-436,-13452,107,340,90
