timestamp_ms,ir_ambient_c,ir_object_c,sound_peak,sound_volts,ax,ay,az,gx,gy,gz,mx,my,mz
5324,25.77,26.11,0,0.0,1172,-2220,-14308,836,830,8367,0,0,0
5329,25.77,26.11,0,0.0,1220,-1884,-6464,-737,2514,8715,0,0,0
5334,25.77,26.11,0,0.0,976,680,-14612,-1305,1064,8787,0,0,0
5339,25.77,26.11,0,0.0,496,68,-13568,-698,-55,8830,0,0,0
5345,25.77,26.11,0,0.0,1052,256,-18284,558,702,8784,0,0,0
5350,25.77,26.11,0,0.0,2468,-1492,-12228,35,-141,8710,0,0,0
5354,25.77,26.11,0,0.0,1628,-1100,-13224,-552,95,8750,0,0,0
5359,25.77,26.11,0,0.0,508,-644,-11852,-1184,-200,8615,0,0,0
5364,25.77,26.11,0,0.0,844,-332,-14096,-167,488,8431,0,0,0
5452,25.77,26.11,0,0.0,1044,-68,-13536,63,380,3915,0,0,0
5485,25.77,26.11,4199,0.846,976,-452,-13116,325,201,3487,0,0,0
5490,25.77,26.11,8599,1.732,992,-908,-12896,182,544,3587,0,0,0
5495,25.77,26.11,5339,1.075,752,-708,-13556,88,737,3695,0,0,0
5499,25.77,26.11,10278,2.07,1204,-772,-13092,-88,899,3761,0,0,0
5504,25.77,26.11,9497,1.913,1252,-196,-13920,-765,798,3859,0,0,0
5509,25.77,26.11,6812,1.372,1236,-928,-14144,-1021,606,4050,0,0,0
5515,25.77,26.11,9096,1.832,1416,-772,-14508,-1161,120,4252,0,0,0
5520,25.77,26.11,4365,0.879,1424,-992,-13700,-1235,-139,4403,0,0,0
5525,25.77,26.11,12192,2.456,380,-1020,-13164,-16,-522,4478,0,0,0
5548,25.77,26.11,5594,1.127,1160,-1008,-14476,-502,-111,4706,0,0,0
5630,25.77,26.11,1246,0.251,1052,-88,-13652,-10,248,3826,0,0,0
5635,25.77,26.11,3655,0.736,1112,-404,-13220,-84,327,3740,0,0,0
5640,25.77,26.11,4405,0.887,1032,-356,-13336,-120,319,3674,0,0,0
5644,25.77,26.11,8398,1.692,888,-196,-13696,26,358,3602,0,0,0
5649,25.77,26.11,7864,1.584,1208,-344,-13500,35,333,3549,0,0,0
5654,25.77,26.11,5397,1.087,1312,-400,-13400,174,386,3437,0,0,0
5659,25.77,26.11,7618,1.534,1112,-188,-13564,60,323,2344,0,0,0
5742,25.77,26.11,2637,0.531,980,-300,-13352,-26,350,2293,0,0,0
5744,25.77,26.11,1506,0.303,980,-300,-13352,-26,350,2293,0,0,0
5749,25.77,26.11,8469,1.706,1012,-220,-13296,12,388,2185,0,0,0
5755,25.77,26.11,9003,1.813,1224,-496,-13544,561,331,2045,0,0,0
5760,25.77,26.11,8954,1.804,1140,-912,-13716,-182,246,1996,0,0,0
5764,25.77,26.11,4802,0.967,1076,148,-13712,-309,362,1984,0,0,0
5769,25.77,26.11,7825,1.576,972,-300,-13944,115,403,1869,0,0,0
5774,25.77,26.11,4257,0.857,1000,-480,-12740,48,342,1849,0,0,0
5779,25.77,26.11,4760,0.959,1064,-448,-13392,-9,331,1808,0,0,0
5785,25.77,26.11,3331,0.671,936,-272,-13636,-35,357,1731,0,0,0
5790,25.77,26.11,7900,1.591,1192,-228,-14008,135,375,1672,0,0,0
5794,25.77,26.11,9252,1.864,1208,-348,-13340,67,299,1598,0,0,0
5799,25.77,26.11,4759,0.959,1132,-372,-13604,32,290,1516,0,0,0
5874,25.77,26.11,2401,0.484,1208,-252,-13460,129,355,458,0,0,0
5879,25.77,26.11,4429,0.892,1044,-388,-13628,65,303,371,0,0,0
5884,25.77,26.11,5835,1.175,1160,-240,-13564,117,340,297,0,0,0
5889,25.77,26.11,3991,0.804,908,-276,-13456,92,349,234,0,0,0
5977,25.77,26.11,3365,0.678,1056,-444,-13504,107,298,98,0,0,0
5989,25.77,26.11,2080,0.419,1188,-304,-13388,112,396,109,0,0,0
5994,25.77,26.11,6470,1.303,1156,-436,-13452,107,340,90,0,0,0
6000,25.77,26.11,5478,1.103,956,-360,-13544,138,269,87,0,0,0
6005,25.77,26.11,7966,1.605,856,-432,-13540,68,329,96,0,0,0
6009,25.77,26.11,10795,2.174,1016,-432,-13328,119,374,107,0,0,0
6014,25.77,26.11,6138,1.236,1080,-428,-13472,112,401,101,0,0,0
6019,25.77,26.11,7728,1.557,1108,-408,-13656,118,345,101,0,0,0
6025,25.77,26.11,6691,1.348,1092,-372,-13576,122,273,111,0,0,0
6030,25.77,26.11,7575,1.526,1068,-316,-13448,100,301,109,0,0,0
6035,25.77,26.11,7742,1.559,1032,-320,-13488,116,372,111,0,0,0
6039,25.77,26.11,11521,2.321,992,-360,-13380,101,378,96,0,0,0
6044,25.77,26.11,8643,1.741,1048,-380,-13660,88,301,94,0,0,0
6049,25.77,26.11,8593,1.731,1172,-496,-13444,112,319,132,0,0,0
6055,25.77,26.11,9198,1.853,1088,-456,-13404,103,321,88,0,0,0
6060,25.77,26.11,10166,2.048,984,-452,-13552,97,356,105,0,0,0
6133,25.77,26.11,617,0.124,1000,-436,-13556,117,348,96,0,0,0
6134,25.77,26.11,4087,0.823,1000,-436,-13556,117,348,96,0,0,0
6219,25.77,26.11,6286,1.266,1032,-344,-13628,124,276,98,0,0,0
6224,25.75,26.17,8946,1.802,916,-388,-13360,122,324,100,0,0,0
6229,25.75,26.17,3257,0.656,1064,-404,-13380,77,366,90,0,0,0
6234,25.75,26.17,12173,2.452,1104,-388,-13636,133,339,103,0,0,0
6240,25.75,26.17,6463,1.302,1036,-416,-13468,86,320,111,0,0,0
6245,25.75,26.17,11914,2.4,1100,-396,-13500,108,349,101,0,0,0
6249,25.75,26.17,11432,2.303,1116,-416,-13600,91,354,116,0,0,0
6254,25.75,26.17,6480,1.305,1088,-320,-13584,113,313,84,0,0,0
6259,25.75,26.17,4560,0.919,1024,-444,-13452,104,327,90,0,0,0
6265,25.75,26.17,9119,1.837,1052,-436,-13504,121,317,102,0,0,0
6270,25.75,26.17,9623,1.938,1104,-316,-13680,105,316,83,0,0,0
6275,25.75,26.17,11378,2.292,1120,-364,-13620,91,381,97,0,0,0
6279,25.75,26.17,10620,2.139,1032,-476,-13696,126,285,108,0,0,0
6284,25.75,26.17,6256,1.26,1080,-432,-13424,93,316,95,0,0,0
6289,25.75,26.17,11824,2.382,1112,-536,-13512,103,355,106,0,0,0
6295,25.75,26.17,7026,1.415,1112,-444,-13576,120,319,89,0,0,0
6379,25.75,26.17,917,0.185,1112,-444,-13576,120,319,89,0,0,0
6380,25.75,26.17,1520,0.306,1112,-444,-13576,120,319,89,0,0,0
6455,25.75,26.17,4067,0.819,1084,-408,-13516,102,353,122,0,0,0
6472,25.75,26.17,16,0.003,1136,-436,-13504,107,335,99,0,0,0
6474,25.75,26.17,5475,1.103,1028,-508,-13416,115,359,88,0,0,0
6479,25.75,26.17,7235,1.457,1036,-484,-13520,120,344,87,0,0,0
6485,25.75,26.17,5904,1.189,1000,-404,-13512,108,330,95,0,0,0
6490,25.75,26.17,8001,1.612,1080,-444,-13428,69,307,110,0,0,0
6495,25.75,26.17,9829,1.98,1120,-472,-13256,90,328,106,0,0,0
6499,25.75,26.17,8316,1.675,1008,-592,-13504,77,351,103,0,0,0
6504,25.75,26.17,3664,0.738,1148,-476,-13488,106,311,106,0,0,0
6509,25.75,26.17,3978,0.801,952,-492,-13400,88,334,109,0,0,0
6515,25.75,26.17,11017,2.219,996,-340,-13516,112,344,98,0,0,0
6520,25.75,26.17,4919,0.991,1132,-536,-13564,116,337,115,0,0,0
6524,25.75,26.17,6586,1.327,1020,-380,-13632,114,329,82,0,0,0
6548,25.75,26.17,5476,1.103,1024,-496,-13400,100,371,97,0,0,0
6550,25.75,26.17,1967,0.396,1024,-496,-13400,100,371,97,0,0,0
6555,25.75,26.17,8014,1.614,1164,-448,-13644,149,328,98,0,0,0
6560,25.75,26.17,6690,1.348,1084,-304,-13432,107,233,112,0,0,0
6647,25.75,26.17,5317,1.071,1132,-472,-13676,108,323,99,0,0,0
6649,25.75,26.17,4132,0.832,1048,-440,-13604,120,315,111,0,0,0
6654,25.75,26.17,7168,1.444,1028,-392,-13440,136,293,110,0,0,0
6727,25.77,26.23,1073,0.216,1092,-456,-13648,98,347,100,0,0,0
6730,25.77,26.23,1103,0.222,1092,-456,-13648,98,347,100,0,0,0
6734,25.77,26.23,5991,1.207,1016,-472,-13560,117,353,101,0,0,0
6739,25.77,26.23,5480,1.104,1048,-504,-13572,107,333,105,0,0,0
6744,25.77,26.23,5441,1.096,1148,-512,-13608,126,318,101,0,0,0
6750,25.77,26.23,12157,2.449,1080,-476,-13488,92,312,98,0,0,0
6755,25.77,26.23,8001,1.612,984,-460,-13716,95,347,82,0,0,0
6760,25.77,26.23,4950,0.997,1028,-356,-13368,101,321,98,0,0,0
6764,25.77,26.23,5889,1.186,1088,-440,-13500,109,353,98,0,0,0
