4079,24.61,24.83,764,2.465,3752,-5724,-12208,-5924,3676,657,-1,-1,-1
4350,24.53,24.71,388,1.252,4132,-4988,-10676,-5084,555,-1209,-1,-1,-1
4618,24.59,24.59,763,2.461,3852,-1360,-13932,-2642,-4186,-1119,-1,-1,-1
4889,24.57,24.81,723,2.332,1224,-2496,-13644,331,210,-1716,-1,-1,-1
5171,24.59,24.87,763,2.461,1396,-1972,-13384,135,318,-897,-1,-1,-1
5442,24.57,24.83,763,2.461,1296,-1796,-13272,145,319,0,-1,-1,-1
5709,24.59,24.83,480,1.548,1492,-1848,-13404,107,324,59,-1,-1,-1
5980,24.53,24.81,393,1.268,1404,-1812,-13504,96,340,125,-1,-1,-1
6261,24.59,24.83,500,1.613,1516,-1820,-13384,128,303,108,-1,-1,-1
6535,24.57,24.83,587,1.894,1516,-1888,-13364,155,324,39,-1,-1,-1
6816,24.59,24.87,523,1.687,1540,-1868,-13212,131,327,92,-1,-1,-1
7090,24.57,24.83,352,1.135,1484,-1800,-13436,114,313,40,-1,-1,-1
7361,24.57,24.81,593,1.913,1448,-1812,-13368,140,331,-46,-1,-1,-1
7639,24.51,24.81,343,1.106,1384,-1864,-13096,195,322,-99,-1,-1,-1
7924,24.57,24.83,471,1.519,1372,-1840,-13420,123,325,97,-1,-1,-1
8195,24.53,24.83,486,1.568,1472,-1888,-13556,124,352,85,-1,-1,-1
8466,24.57,24.89,511,1.648,1520,-1864,-13388,137,329,104,-1,-1,-1
8733,24.57,24.89,677,2.184,1512,-1848,-13224,124,335,98,-1,-1,-1
9011,24.57,24.89,403,1.300,1472,-1920,-13364,122,302,68,-1,-1,-1
9285,24.53,24.87,664,2.142,1488,-1792,-13388,81,324,86,-1,-1,-1
9552,24.57,24.87,427,1.377,1460,-1768,-13460,166,333,100,-1,-1,-1
9819,24.53,24.87,390,1.258,1472,-1856,-13288,106,354,94,-1,-1,-1
10097,24.57,24.95,748,2.413,1480,-1856,-13304,122,349,101,-1,-1,-1
10364,24.59,25.01,694,2.239,1488,-1952,-13448,107,336,98,-1,-1,-1
10637,24.57,25.01,764,2.465,1384,-1756,-13240,123,304,87,-1,-1,-1
