4091,24.49,25.11,585,1.887,1512,-1708,-13360,126,322,74,-1,-1,-1
4362,24.51,25.23,486,1.568,1440,-1632,-13424,124,343,92,-1,-1,-1
4636,24.49,25.25,538,1.735,424,-1164,-13348,200,544,93,-1,-1,-1
4910,24.49,25.17,764,2.465,1284,-1648,-13364,116,35,99,-1,-1,-1
5184,24.49,25.29,764,2.465,440,-996,-11080,41,2521,-452,-1,-1,-1
5465,24.47,25.29,764,2.465,3400,-1064,-13992,-785,5543,-1155,-1,-1,-1
5736,24.49,25.41,764,2.465,7056,-2016,-10876,53,3038,5382,-1,-1,-1
6010,24.49,25.41,764,2.465,8740,-3496,-9408,1177,-337,14802,-1,-1,-1
6292,24.51,26.61,763,2.461,4176,-2844,-8856,5887,684,6557,-1,-1,-1
6574,24.49,25.87,764,2.465,5052,-5268,-13000,-5608,5975,8027,-1,-1,-1
6849,24.51,25.81,763,2.461,5276,-3904,-11340,-1684,-456,7939,-1,-1,-1
7128,24.51,26.27,660,2.129,1336,-432,-10924,-7429,-1789,10972,-1,-1,-1
7403,24.51,26.91,641,2.068,276,1336,-14136,3506,-5756,5193,-1,-1,-1
7681,24.51,27.67,594,1.916,2388,3996,-11584,-16080,7439,11755,-1,-1,-1
7949,24.49,28.97,405,1.306,-4908,-2212,-5800,836,-4029,8250,-1,-1,-1
8224,24.53,28.95,474,1.529,188,184,-14424,2627,3113,1284,-1,-1,-1
8499,24.49,28.91,320,1.032,380,852,-14044,1514,714,935,-1,-1,-1
8766,24.51,28.83,314,1.013,716,-348,-13184,229,-200,-98,-1,-1,-1
9037,24.51,28.79,359,1.158,332,-844,-13112,200,-319,-221,-1,-1,-1
9319,24.51,28.77,308,0.994,376,-644,-13580,-230,325,117,-1,-1,-1
9590,24.53,28.75,379,1.223,596,-440,-13480,106,175,172,-1,-1,-1
9864,24.53,28.71,442,1.426,772,-740,-13776,-326,1025,631,-1,-1,-1
10148,24.51,28.71,546,1.761,1644,1120,-12600,-2426,3497,-3365,-1,-1,-1
10419,24.51,28.89,569,1.835,4312,944,-13188,2977,7840,-1894,-1,-1,-1
10686,24.53,28.95,748,2.413,4928,-1176,-11920,6694,-2809,-3364,-1,-1,-1
10954,24.51,28.11,763,2.461,4044,-2120,-14336,3500,-1374,-6891,-1,-1,-1
11229,24.49,26.99,368,1.187,4796,-6560,-11920,2729,-3114,-6168,-1,-1,-1
11504,24.49,26.11,330,1.065,4992,-648,-15056,-10413,-1514,3234,-1,-1,-1
11779,24.49,25.91,744,2.400,684,-628,-16788,1329,215,-371,-1,-1,-1
12064,24.49,25.91,496,1.600,1196,-2408,-12660,2741,4342,1111,-1,-1,-1
12346,24.49,26.49,232,0.748,616,-280,-12612,2175,-3457,1796,-1,-1,-1
12625,24.49,26.73,232,0.748,4004,-3680,-13064,-5698,-3632,-925,-1,-1,-1
12907,24.49,26.71,433,1.397,2544,792,-10192,-1838,-7749,2853,-1,-1,-1
13175,24.49,26.71,197,0.635,1428,1084,-15464,762,-2409,3230,-1,-1,-1
13446,24.49,26.37,191,0.616,8,160,-14196,12379,2706,-1000,-1,-1,-1
13724,24.49,26.27,376,1.213,3356,5680,-11488,3016,12028,-774,-1,-1,-1
13999,24.47,26.91,434,1.400,4724,-560,-12420,650,-9570,2540,-1,-1,-1
14274,24.47,28.33,289,0.932,2640,304,-12052,-648,1978,788,-1,-1,-1
14541,24.47,26.43,662,2.135,2480,-652,-13452,375,-1109,-881,-1,-1,-1
14817,24.49,26.91,390,1.258,980,508,-13424,114,349,97,-1,-1,-1
15102,24.45,27.41,229,0.739,972,624,-13436,113,315,98,-1,-1,-1
15369,24.47,27.41,221,0.713,964,660,-13432,113,336,70,-1,-1,-1
15640,24.49,27.47,242,0.781,1300,640,-13432,68,193,96,-1,-1,-1
15914,24.45,27.43,444,1.432,1036,504,-13440,120,294,106,-1,-1,-1
16181,24.45,27.35,399,1.287,1028,460,-13372,103,340,94,-1,-1,-1
16452,24.49,27.41,763,2.461,1104,544,-13380,151,270,112,-1,-1,-1
16723,24.47,27.41,507,1.635,1076,564,-13356,106,281,105,-1,-1,-1
16990,24.47,27.37,426,1.374,1040,596,-13460,125,325,104,-1,-1,-1
17261,24.49,27.41,352,1.135,848,572,-13716,128,321,95,-1,-1,-1
17535,24.47,27.41,372,1.200,972,704,-13540,129,348,98,-1,-1,-1
17816,24.47,27.53,376,1.213,1112,524,-13268,98,321,87,-1,-1,-1
18083,24.47,27.59,311,1.003,1040,648,-13564,138,360,91,-1,-1,-1
18353,24.47,27.55,495,1.597,1148,656,-13592,122,323,93,-1,-1,-1
18620,24.47,27.53,401,1.294,1140,672,-13348,133,353,96,-1,-1,-1
18909,24.49,27.55,356,1.148,904,660,-13460,156,329,85,-1,-1,-1
19180,24.47,27.55,438,1.413,1008,672,-13564,170,344,113,-1,-1,-1
19451,24.45,27.61,464,1.497,1036,608,-13592,140,336,93,-1,-1,-1
19732,24.47,27.55,588,1.897,1064,608,-13596,138,329,93,-1,-1,-1
20006,24.47,27.47,562,1.813,984,500,-13416,86,311,99,-1,-1,-1
20276,24.47,27.59,340,1.097,1016,568,-13584,142,345,105,-1,-1,-1
20550,24.45,27.55,762,2.458,984,644,-13492,143,335,102,-1,-1,-1
20824,24.43,27.59,404,1.303,1004,656,-13396,114,344,116,-1,-1,-1
21106,24.45,27.53,409,1.319,1104,660,-13536,141,332,94,-1,-1,-1
21380,24.49,27.47,415,1.339,1076,668,-13332,104,319,87,-1,-1,-1
21654,24.43,27.41,763,2.461,996,672,-13444,117,323,101,-1,-1,-1
21925,24.45,27.41,554,1.787,988,648,-13404,136,344,114,-1,-1,-1
22206,24.45,27.41,341,1.100,976,648,-13464,113,327,95,-1,-1,-1
22477,24.47,27.37,449,1.448,1056,676,-13544,143,343,88,-1,-1,-1
22748,24.45,27.43,509,1.642,1024,616,-13396,132,327,89,-1,-1,-1
23029,24.47,27.47,706,2.277,1032,588,-13496,99,353,110,-1,-1,-1
23303,24.45,27.35,262,0.845,1052,700,-13432,116,353,122,-1,-1,-1
23574,24.43,27.31,764,2.465,1000,488,-13616,119,311,125,-1,-1,-1
23845,24.47,27.03,764,2.465,1080,552,-13508,107,341,99,-1,-1,-1
24116,24.45,27.11,764,2.465,1236,976,-13448,-77,396,115,-1,-1,-1
24401,24.43,27.11,338,1.090,1008,656,-13476,134,358,121,-1,-1,-1
24679,24.45,27.15,683,2.203,1016,660,-13428,90,333,100,-1,-1,-1
24946,24.45,28.01,509,1.642,1024,600,-13448,130,301,89,-1,-1,-1
25217,24.41,27.99,542,1.748,1056,580,-13420,141,331,99,-1,-1,-1
25502,24.45,28.05,599,1.932,1060,596,-13384,98,331,94,-1,-1,-1
25786,24.45,28.17,356,1.148,1012,560,-13444,137,322,104,-1,-1,-1
26057,24.43,28.13,706,2.277,1100,552,-13584,100,312,98,-1,-1,-1
26328,24.45,28.11,765,2.468,1080,564,-13212,129,330,98,-1,-1,-1
26606,24.43,28.19,764,2.465,984,536,-13492,122,313,108,-1,-1,-1
26877,24.43,28.11,578,1.865,1032,720,-13300,147,322,106,-1,-1,-1
27155,24.45,28.17,552,1.781,1004,632,-13436,137,331,117,-1,-1,-1
27429,24.41,28.11,764,2.465,996,456,-13452,109,321,95,-1,-1,-1
27714,24.45,28.23,763,2.461,1212,616,-13252,151,340,83,-1,-1,-1
27999,24.41,28.19,764,2.465,848,-424,-13892,199,209,125,-1,-1,-1
28280,24.43,28.19,361,1.165,1132,384,-13552,160,259,95,-1,-1,-1
28555,24.45,28.25,747,2.410,1060,628,-13472,151,375,124,-1,-1,-1
28822,24.43,28.17,591,1.906,1412,600,-13060,106,234,104,-1,-1,-1
29093,24.43,28.19,764,2.465,984,668,-13592,130,362,98,-1,-1,-1
29367,24.43,28.25,572,1.845,1044,628,-13460,132,356,110,-1,-1,-1
29638,24.45,28.25,567,1.829,1040,752,-13372,164,357,98,-1,-1,-1
29913,24.43,28.23,764,2.465,1032,616,-13436,146,325,111,-1,-1,-1
30180,24.41,28.25,710,2.290,904,576,-13500,106,351,90,-1,-1,-1
30451,24.45,28.31,518,1.671,1020,684,-13528,129,333,68,-1,-1,-1
30718,24.45,28.27,764,2.465,1304,664,-13348,119,335,82,-1,-1,-1
30989,24.43,28.25,764,2.465,1076,520,-13524,119,356,114,-1,-1,-1
31270,24.45,28.31,764,2.465,1044,588,-13380,122,345,95,-1,-1,-1
31545,24.41,28.31,764,2.465,1056,592,-13332,118,329,89,-1,-1,-1
31820,24.43,28.27,763,2.461,1064,600,-13468,149,321,72,-1,-1,-1
32091,24.43,28.27,764,2.465,996,676,-13508,140,314,117,-1,-1,-1
32366,24.43,28.37,636,2.052,1064,640,-13448,108,325,104,-1,-1,-1
32633,24.43,28.39,594,1.916,1128,504,-13448,144,296,85,-1,-1,-1
32904,24.45,28.39,669,2.158,936,612,-13284,149,348,106,-1,-1,-1
33171,24.43,28.39,490,1.581,1084,392,-13524,110,350,68,-1,-1,-1
33445,24.45,28.31,712,2.297,1068,636,-13524,142,349,61,-1,-1,-1
33716,24.45,28.31,764,2.465,872,592,-13368,113,334,89,-1,-1,-1
33997,24.41,28.19,571,1.842,972,680,-13440,138,336,83,-1,-1,-1
34271,24.45,28.17,764,2.465,1068,540,-13592,117,312,84,-1,-1,-1
34546,24.45,28.07,764,2.465,2136,-452,-10184,-483,457,27,-1,-1,-1
34831,24.43,28.07,501,1.616,1004,572,-13452,161,354,115,-1,-1,-1
35098,24.47,28.07,469,1.513,1096,432,-13188,86,303,106,-1,-1,-1
35372,24.43,28.13,764,2.465,1400,644,-12860,2,306,63,-1,-1,-1
35643,24.41,28.13,710,2.290,1092,484,-13512,107,293,66,-1,-1,-1
35914,24.45,28.19,514,1.658,1092,588,-13488,122,292,87,-1,-1,-1
